"AWS Data Exchange",,AWS,,,,,,,"live, query-ready datasets",,,,"Native cloud platform allowing data providers to share live, query-ready datasets directly into customer's data warehouse; Snowflake eclipsed $2B in sales through AWS Marketplace collaboration in 2025",CRE Data Acquisition Cost Model.md,"Section 4.2 line 161","OK",,
Reonomy,,"Reonomy (An Altus Group Business)",,https://www.reonomy.com/solutions/data-solutions/,,"paid - Web app $400/month/user ($4,800/year); Reonomy API/Bulk Data Feeds (BDF) custom enterprise pricing $60,000 to $120,000+ annually depending on record volume and update cadence",,,"54 million commercial properties, 68 million property transactions, 5.2 million companies, 30 million owner contact records; proprietary machine learning algorithms and knowledge graph for entity resolution (tying disparate LLCs to parent holding companies and specific decision-makers)",,,,"Uncovering true owners hidden behind opaque shell LLCs across the United States; recommended for Core Property & Ownership Layer in Terminal hybrid architecture",CRE Data Acquisition Cost Model.md,"Section 4.1 lines 132-136; Section 6 line 231","OK",,
"Reonomy (Altus Group)",,"Altus Group",,https://www.altusgroup.com/solutions/reonomy/,,,,,"Property Intelligence & Market Data",,,,"Altus Group's Reonomy property intelligence platform",CRE Data Acquisition Cost Model.md,"Works cited #57 line 296","MISSING_FIELDS",,
"Reonomy Web Application",,Reonomy,,https://www.reonomy.com/solutions/web-application/,,,,,"Property Intelligence, Property Search, Property Data & Property Records",,,,"Reonomy web app for individual analysts",CRE Data Acquisition Cost Model.md,"Works cited #58 line 297","MISSING_FIELDS",,
"ATTOM Data Solutions",,ATTOM,,https://www.attomdata.com/solutions/property-data-api/,,"paid - Property Navigator from $499/year; bulk API custom enterprise pricing; bulk parcel data exports can cost thousands of dollars per county; nationwide API access is six-figure annual investment",,,"155-158 million U.S. properties (99% of U.S. population); 70 billion rows of data with up to 9,000 attributes per property including tax assessments, deeds, mortgages, historical sales comps, square footage, neighborhood demographics",,,,"Foundational data provider warehousing normalized data; recommended for Core Property & Ownership Layer in Terminal hybrid architecture",CRE Data Acquisition Cost Model.md,"Section 4.1 lines 138-141; Section 6 line 231","OK",,
"ATTOM Property Navigator",,ATTOM,,https://www.attomdata.com/solutions/property-navigator/pricing/,,"paid - starts at $499/year",,,,,,,"Consumer-facing real estate data product from ATTOM",CRE Data Acquisition Cost Model.md,"Works cited #63 line 302","OK",,
Cherre,,Cherre,,https://cherre.com/marketplace-connections/,,"paid - custom subscription pricing based on base platform fee plus additional costs per active dataset or AI agent utilized",,,"hundreds of diverse datasets (valuations, tax, liens, demographics) connected into centralized data warehouse; single GraphQL endpoint",,,,"Real estate data integration platform connecting hundreds of datasets into centralized connected data warehouse",CRE Data Acquisition Cost Model.md,"Section 4.1 lines 143-146","OK",,
"Cherre AI Agent Marketplace",,Cherre,,https://cherre.com/marketplace/ai-agents/,,,,,,,,,"Cherre AI agent marketplace",CRE Data Acquisition Cost Model.md,"Works cited #71 line 310","MISSING_FIELDS",,
"Moody's Analytics CRE",,"Moody's",,https://www.moodyscre.com/products/mca-api/,,"paid - custom enterprise pricing",,,"8 million+ enriched commercial properties; four decades of real estate performance data, rent trends, vacancy rates, operating expenses, CMBS Net Operating Income (NOI) data",,,,"Institutional-grade analytical financial metrics via Moody's CRE API v3.0; data delivery via API or secure bulk FTP",CRE Data Acquisition Cost Model.md,"Section 4.1 lines 148-151","OK",,
"Moody's CRE Bulk Data",,"Moody's",,https://www.moodyscre.com/products/bulk-data/,,"paid - custom enterprise pricing",,,,,,,"Commercial Real Estate Data API - bulk data delivery option",CRE Data Acquisition Cost Model.md,"Works cited #73 line 312","MISSING_FIELDS",,
LightBox,,LightBox,,https://www.lightboxre.com/data/lightbox-apis/,,"paid - pay-as-you-go starting from $129/user/month for standard CRM/application access; bulk API access requires custom contract",,,"superior geospatial intelligence, zoning data, environmental risk assessments; nationwide property data via API",,,,"Massive CRE data repository distinguished by geospatial intelligence, zoning, and environmental risk assessments",CRE Data Acquisition Cost Model.md,"Section 4.1 lines 153-155","OK",,
Datarade,,Datarade,,https://datarade.ai/,,,,,"global storefront comparing over 500 data providers",,,,"Data marketplace acting as massive global storefront comparing 500+ data providers; recommended for procuring modular CRE datasets for Terminal Active Market Signals layer",CRE Data Acquisition Cost Model.md,"Section 4.2 line 162; Section 6 line 232","OK",,
CompCurve,,CompCurve,,,,"paid - $0.04 to $0.05 per record via API; live national apartment rental listing data $3,400 to $4,000 per month",,,"28 million+ CRE properties (Office, Retail, Industrial, Multifamily) complete with ownership and tax records; live national apartment rental listing data",,,,"Comprehensive CRE dataset provider available via Datarade marketplace; recommended for Active Market Signals (Listings) in Terminal hybrid architecture",CRE Data Acquisition Cost Model.md,"Section 4.2 line 162; Section 6 line 232","OK",,
BatchData,,BatchData,,,,"paid - plans start at $1,000/month for 100,000 records, scaling to $5,000/month for 750,000 records",,,"155 million+ properties and 1 billion data points; property intelligence",,,,"Scalable alternative for property intelligence available via direct API or marketplaces; recommended for Active Market Signals in Terminal hybrid architecture",CRE Data Acquisition Cost Model.md,"Section 4.2 line 163; Section 6 line 232","OK",,
"BatchData (Datarade profile)",,BatchData,,https://datarade.ai/data-providers/batchdata/profile,,,,,,,,,"BatchData provider profile on Datarade",CRE Data Acquisition Cost Model.md,"Works cited #82 line 321","MISSING_FIELDS",,
"Apify Socrata Integration / US Probate & Foreclosure Leads Scraper",,"Apify (jungle_synthesizer)",,https://apify.com/jungle_synthesizer/probate-foreclosure-leads-scraper,,"paid - pay-per-event $0.10 per run plus $0.001 per successfully returned distressed-property record; sweep of major county returning 5,000 fresh distress signals costs $5.10",,"county-level / per-record","discovers datasets via Socrata Discovery API; normalizes raw county rows (NOLA sheriff sales, NYC tax liens) into unified JSON schema; distress signals from Socrata Open Data network powering dozens of municipal open-data portals",,,,"Specialized Apify actor for scraping public government open-data networks (Socrata API) for distress signals (pre-foreclosures, tax liens, sheriff sales); legally compliant as it targets public taxpayer-funded domains rather than private CRE portals; recommended for Distress Signals Layer in Terminal hybrid architecture",CRE Data Acquisition Cost Model.md,"Section 4.3 lines 171-172; Section 6 line 233","OK",,
"Socrata Open Data Network / Socrata Discovery API",,Socrata,,,,,,,"municipal open-data portals; raw county rows including sheriff sales, tax liens",,,,"Open data network powering dozens of municipal open-data portals; accessed via Apify actor for distress signal acquisition",CRE Data Acquisition Cost Model.md,"Section 4.3 line 171","OK",,
"TaxNetUSA API",,TaxNetUSA,,https://www.taxnetusa.com/data/web-service-api/,,,real-time,"county-level","real-time delinquent tax bills pulled directly from county tax assessors; exceptionally strong coverage in Texas and Florida",,,,"Reliable tax delinquency data without scraping via Real Estate Database API; pulls real-time delinquent tax bills from county tax assessors",CRE Data Acquisition Cost Model.md,"Section 4.3 line 173","OK",,
LoopNet,,"CoStar Group",,https://www.loopnet.com/,,,,,"commercial real estate listings for sale and lease",,,,"Public-facing CRE portal mentioned as target for Path A scraping (with high copyright risk per CoStar litigation); #1 in Commercial Real Estate for Sale & Lease",CRE Data Acquisition Cost Model.md,"Section 2 line 35; Works cited #6 line 245","OK",,
Crexi,,"Commercial Real Estate Exchange, Inc. (CREXi)",,https://www.crexi.com/blog/crexi-national-cre-report-july-2025,,,,,"commercial real estate listings and market reports",,,,"Public-facing CRE portal mentioned as scraping target (Path A); also defendant in CoStar copyright infringement litigation",CRE Data Acquisition Cost Model.md,"Section 2 line 35; Works cited #3 line 242","OK",,
"CoStar Group",,"CoStar Group",,https://www.costargroup.com/press-room/legal,,,,,,,,,"Dominant force in CRE data; aggressive litigator (sued CREXi, Zillow). Not a vendor source for Terminal per the document (litigation risk); contextual reference",CRE Data Acquisition Cost Model.md,"Section 3.1 lines 95-100","REVIEW",,
Zillow,,Zillow,,,,,,,,,,,"Listing portal mentioned in litigation context (CoStar copyright infringement suit, Compass antitrust suit); not a Terminal vendor",CRE Data Acquisition Cost Model.md,"Section 3.1 line 100; Section 3.2 line 106","REVIEW",,
"RealPage",,RealPage,,,,,,,"revenue management software; algorithmic pricing recommendations for multifamily landlords",,,,"Revenue management software mentioned in DOJ antitrust context; cautionary example for Terminal regarding algorithmic price-fixing liability",CRE Data Acquisition Cost Model.md,"Section 3.3 lines 113-114","REVIEW",,
CoreLogic,,CoreLogic,,,,,,,,,,,"Established vendor mentioned alongside Reonomy for proprietary ML entity resolution algorithms and standardized property schemas",CRE Data Acquisition Cost Model.md,"Section 5.4 line 225","REVIEW",,
"U.S. Census Bureau",,"U.S. Census Bureau",,,,,,,"multifamily unit completions data (591,400 in 2024)",,,,"Government data source cited for multifamily supply growth statistics",CRE Data Acquisition Cost Model.md,"Section 1.1 line 9","REVIEW",,
