"Census ACS B25003 — Tenure (Owner/Renter)",,"Census Bureau",,"https://api.census.gov/data/2023/acs/acs5?get=<vars>&for=tract:*&in=state:SS+county:CCC&key=KEY","free Census key","Free","Annual","tract/ZIP","B25003_001E total; B25003_002E owner-occupied; B25003_003E renter-occupied; JSON","Yes",,,"""Owner-vs-Renter Mix""","compass_artifact_wf-5f02d687-92af-4e88-a59b-55245ba3ca7c_text_markdown.md","CATEGORY 2 line 103","OK",,
"Census ACS B15003 — Educational Attainment",,"Census Bureau",,"https://api.census.gov/data/2023/acs/acs5?get=<vars>&for=tract:*&in=state:SS+county:CCC&key=KEY","free Census key","Free","Annual","tract/ZIP","B15003_022E bachelor's; B15003_023E master's; B15003_024E professional; B15003_025E doctoral; JSON","Yes",,,"""Educational Attainment (% Bachelor's+)""","compass_artifact_wf-5f02d687-92af-4e88-a59b-55245ba3ca7c_text_markdown.md","CATEGORY 2 line 104","OK",,
"Census ACS B25044 / B08201 — Vehicles Available",,"Census Bureau",,"https://api.census.gov/data/2023/acs/acs5?get=<vars>&for=tract:*&in=state:SS+county:CCC&key=KEY","free Census key","Free","Annual","tract/ZIP","B25044_001E total HH by vehicles; B25044_003E/_010E = 0 vehicles (owner/renter); JSON","Yes",,,"""Vehicle Ownership / Zero-Car HH %""","compass_artifact_wf-5f02d687-92af-4e88-a59b-55245ba3ca7c_text_markdown.md","CATEGORY 2 line 105","OK",,
"Census Geocoder (resolve street address → tract/county FIPS)",,"Census Bureau",,"https://geocoding.geo.census.gov/geocoder/geographies/onelineaddress?address=1600+Pennsylvania+Ave+NW,+Washington,+DC&benchmark=Public_AR_Current&vintage=Current_Current&format=json","None","Free","Continuously aligned with TIGER","address or lat/lng","JSON containing state FIPS, county FIPS, tract, block","Yes",,,"Backend resolver — feeds every ACS / tract-based tile in the panel","compass_artifact_wf-5f02d687-92af-4e88-a59b-55245ba3ca7c_text_markdown.md","line 109 CATEGORY 2","OK",,
"FEMA National Flood Hazard Layer (NFHL)",,"FEMA",,"https://hazards.fema.gov/arcgis/rest/services/public/NFHL/MapServer/28/query?geometry=-77.0369,38.9072&geometryType=esriGeometryPoint&inSR=4326&spatialRel=esriSpatialRelIntersects&outFields=FLD_ZONE,ZONE_SUBTY,STATIC_BFE&returnGeometry=false&f=geojson","None","Free","Continuously (LOMR/LOMA-driven; MaxRecordCount 2000)","lat/lng point","JSON / GeoJSON / PBF; key field FLD_ZONE (A, AE, AH, AO, V, VE, X, D)","Yes",,,"""Flood Zone"" tile (SFHA Y/N + BFE)","compass_artifact_wf-5f02d687-92af-4e88-a59b-55245ba3ca7c_text_markdown.md","line 120 CATEGORY 3","OK",,
"EPA Envirofacts — Superfund/SEMS",,"EPA",,"https://data.epa.gov/efservice/sems.envirofacts_site/zip_code/equals/85016/JSON","None","Free","Continuous EPA refresh; 15-min query cap per request","ZIP, city, county, state, or site name","JSON, CSV, XML, Excel","Not guaranteed — test required; consider proxy",,,"""Superfund Sites Nearby"" tile (count within 1/5/10 mi)","compass_artifact_wf-5f02d687-92af-4e88-a59b-55245ba3ca7c_text_markdown.md","line 129 CATEGORY 3","OK",,
"EPA TRI (Toxics Release Inventory)",,"EPA",,"https://data.epa.gov/efservice/tri_facility/zip_code/equals/85016/JSON","None","Free","Annual (each July for prior calendar year)","ZIP","JSON/CSV/XML","Test required",,,"""Industrial Pollution Score"" tile (count + lbs released within radius)","compass_artifact_wf-5f02d687-92af-4e88-a59b-55245ba3ca7c_text_markdown.md","line 138 CATEGORY 3","OK",,
"EPA Cleanups in My Community (CIMC) — Brownfields",,"EPA",,"https://map22.epa.gov/arcgis/rest/services/cimc/Cleanups/MapServer/0/query?where=PROGRAM%3D%27BROWNFIELDS%27&geometry=-77.05,38.88,-76.95,38.95&geometryType=esriGeometryEnvelope&inSR=4326&spatialRel=esriSpatialRelIntersects&outFields=*&f=json","None","Free","Twice monthly (last refresh 04/21/2025)","ArcGIS envelope or buffered point","JSON / GeoJSON","Yes",,,"""Brownfield Sites Nearby"" tile","compass_artifact_wf-5f02d687-92af-4e88-a59b-55245ba3ca7c_text_markdown.md","line 146 CATEGORY 3","OK",,
"USGS Seismic Design Web Services (NSHM)",,"USGS",,"https://earthquake.usgs.gov/ws/designmaps/asce7-22.json?latitude=34.05&longitude=-118.25&riskCategory=II&siteClass=D&title=LA-Test","None","Free","When a new NSHM model is published (2018 conterminous; 2021 Hawaii)","lat/lng + risk category + site class","JSON (SDS, SD1, PGA, Sa values; design and MCE spectra)","Yes","None published — courtesy use",,"""Seismic Design Category"" tile (SDC + design spectrum mini-chart)","compass_artifact_wf-5f02d687-92af-4e88-a59b-55245ba3ca7c_text_markdown.md","line 155 CATEGORY 3","OK",,
"NOAA Storm Events Database",,"NOAA",,"https://www.ncei.noaa.gov/pub/data/swdi/stormevents/csvfiles/","None","Free","Monthly, ~75-90 day lag","Year-stamped filenames; HTML search at https://www.ncei.noaa.gov/stormevents/","CSV","No",,,"""Severe Weather History (10-yr)"" tile (counts by event type within county)","compass_artifact_wf-5f02d687-92af-4e88-a59b-55245ba3ca7c_text_markdown.md","line 165 CATEGORY 3","OK",,
"CDC PLACES (health by tract)",,"CDC",,"https://data.cdc.gov/resource/cwsq-ngmh.json?$where=StateAbbr='AZ' AND CountyFIPS='04013' AND TractFIPS='04013610200'","Anonymous OK; free Socrata App Token recommended (X-App-Token header) at https://dev.socrata.com","Free","Annual","SoQL via state/county/tract FIPS; 40 chronic-disease and health-related measures per tract","JSON, CSV, GeoJSON via SODA","Yes","Anonymous throttled aggressively; with token: shared per-app",,"""Health Profile"" tile (obesity, smoking, mental-health %)","compass_artifact_wf-5f02d687-92af-4e88-a59b-55245ba3ca7c_text_markdown.md","line 174 CATEGORY 3","OK",,
"EPA Radon Zones (county map)",,"EPA",,"https://www.epa.gov/radon/find-information-about-local-radon-zones-and-state-contact-information","None","Free","Rare (decadal updates)","County FIPS","Static table; ingest once","N/A",,,"""Radon Risk Zone"" tile (1=highest, 3=lowest)","compass_artifact_wf-5f02d687-92af-4e88-a59b-55245ba3ca7c_text_markdown.md","line 184 CATEGORY 3","OK",,
"USFWS National Wetlands Inventory",,"USFWS",,"https://fwspublicservices.wim.usgs.gov/wetlandsmapservice/rest/services/Wetlands/MapServer/0/query?geometry=-77.0369,38.9072&geometryType=esriGeometryPoint&inSR=4326&spatialRel=esriSpatialRelIntersects&outFields=ATTRIBUTE,WETLAND_TYPE&returnGeometry=true&f=geojson","None","Free","Biannual","point geometry","JSON / GeoJSON (wetland classification code per Cowardin system)","Yes",,,"""Wetlands Designation"" tile (Y/N + type)","compass_artifact_wf-5f02d687-92af-4e88-a59b-55245ba3ca7c_text_markdown.md","line 193 CATEGORY 3","OK",,
"EPA AirNow (current AQI)",,"EPA",,"https://www.airnowapi.org/aq/observation/zipCode/current/?format=application/json&zipCode=85016&distance=25&API_KEY=YOUR_KEY","Free key at https://docs.airnowapi.org/account/request/","Free","Hourly observations; daily forecasts","ZIP or lat/lng + radius (miles)","JSON / XML / CSV / KML","No","500 calls/hr per web-service per key (separate budgets for ZIP-obs, latlng-obs, ZIP-forecast, latlng-forecast)",,"""Air Quality (AQI)"" tile (live + 24h trend)","compass_artifact_wf-5f02d687-92af-4e88-a59b-55245ba3ca7c_text_markdown.md","line 202 CATEGORY 3","OK",,
"EPA AQS (historical air quality)",,"EPA",,"https://aqs.epa.gov/data/api/dailyData/byCounty?email=YOU@example.com&key=YOUR_KEY&param=88101&bdate=20240101&edate=20241231&state=04&county=013","Free signup at https://aqs.epa.gov/aqsweb/documents/data_api.html#signup","Free","~6-month lag","param code (e.g., 88101 PM2.5), date range, geographic filter","JSON","Test required (likely proxy)","10 req/min, 5-sec courtesy pause, 1M rows/query cap",,"""Historical Air Quality (5-yr)"" tile","compass_artifact_wf-5f02d687-92af-4e88-a59b-55245ba3ca7c_text_markdown.md","line 212 CATEGORY 3","OK",,
"USDA NRCS Soil Data Access (SDA)",,"USDA NRCS",,"https://SDMDataAccess.sc.egov.usda.gov/Tabular/post.rest","None","Free","With each SSURGO release (annual+)","WKT point/polygon + SQL query (T-SQL flavor)","JSON / XML / WFS GML","No",,,"""Soil Suitability"" tile (drainage class, AASHTO group, hydric soil flag — useful for industrial/agri/site engineering)","compass_artifact_wf-5f02d687-92af-4e88-a59b-55245ba3ca7c_text_markdown.md","line 222 CATEGORY 3","OK",,
"FAA Airport Noise Contours",,"FAA",,"https://www.faa.gov/airports/environmental/airport_noise/noise_exposure_maps","None","Free","Per-airport, voluntary cadence","Airport identifier (manual)","Mostly PDF; some airports publish GIS shapefiles","N/A",,,"""Airport Noise Exposure"" tile (within DNL 65 dB Y/N) — only if backed by airport-specific layers","compass_artifact_wf-5f02d687-92af-4e88-a59b-55245ba3ca7c_text_markdown.md","line 231 CATEGORY 3","OK",,
"Walk Score API",,"Walk Score",,"https://api.walkscore.com/score?format=json&address=1119+8th+Avenue+Seattle+WA+98101&lat=47.6085&lon=-122.3295&transit=1&bike=1&wsapikey=YOUR_KEY","Free key (5,000 calls/day) at https://www.walkscore.com/professional/api-sign-up.php; paid tiers for higher limits and commercial use","Freemium","Refreshed every ~6 months","lat/lon + address; flags transit=1, bike=1 for Transit Score and Bike Score","JSON","No","5,000 calls/day on free tier",,"""Walk / Transit / Bike Score"" tile (3-score badge)","compass_artifact_wf-5f02d687-92af-4e88-a59b-55245ba3ca7c_text_markdown.md","line 242 CATEGORY 4","OK",,
"OpenStreetMap Overpass API (transit, amenities)",,"OpenStreetMap",,"https://overpass-api.de/api/interpreter","None","Free","Live OSM (minutes)","Overpass QL (around: meters, lat, lng)","JSON / XML / CSV","Yes","Polite use; ~10,000 results/query; alternate mirrors available",,"""Transit Stops Within 1 km"" tile + ""Amenities Nearby"" tile (groceries, restaurants, schools — by amenity= tag)","compass_artifact_wf-5f02d687-92af-4e88-a59b-55245ba3ca7c_text_markdown.md","line 252 CATEGORY 4","OK",,
"GreatSchools — NearbySchools API (2026)",,"GreatSchools",,"https://www.greatschools.org/api/","Paid; 14-day free trial; base plan 15,000 calls/month, max 300k calls","Paid",,,,,,,"School ratings — paid replacement after free public API retired","compass_artifact_wf-5f02d687-92af-4e88-a59b-55245ba3ca7c_text_markdown.md","line 262 CATEGORY 4","OK",,
"SchoolDigger API",,"SchoolDigger",,"https://api.schooldigger.com/v2.3/schools?st=AZ&zip=85016&appID=YOUR_APPID&appKey=YOUR_KEY","Free tier 1,500 calls/month (registration at https://developer.schooldigger.com/); paid tiers higher","Freemium","Annual school-year cycle","state, ZIP, lat/lng + distance","JSON","No",,,"""School Ratings"" tile (top-3 schools within 2 mi)","compass_artifact_wf-5f02d687-92af-4e88-a59b-55245ba3ca7c_text_markdown.md","line 266 CATEGORY 4","OK",,
"Open Charge Map (EV chargers)",,"Open Charge Map",,"https://api.openchargemap.io/v3/poi/?output=json&latitude=37.7749&longitude=-122.4194&distance=10&distanceunit=KM&maxresults=25&compact=true&key=YOUR_API_KEY","Free key at https://openchargemap.org/site/loginprovider/beginlogin?prompt=register","Free","Continuous (crowd + operator feeds)","lat/lng + radius, or boundingbox=","JSON / KML / GeoJSON","Yes","No hard cap; throttle/cache",,"""EV Charging Stations Nearby"" tile","compass_artifact_wf-5f02d687-92af-4e88-a59b-55245ba3ca7c_text_markdown.md","line 275 CATEGORY 4","OK",,
"FCC National Broadband Map (BDC) Public Data API",,"FCC",,"https://broadbandmap.fcc.gov/nbm/map/api/published/filing","BDC username + 44-character API token (free; obtain via ""Manage API Access"" after registering at https://bdc.fcc.gov/)","Free","Twice-yearly availability filings (June + December)","FCC Location ID (or filter by state/county/tech/speed); for direct address-to-Location ID resolution, license the Fabric (free for governments/non-profits)","JSON / CSV","No","Not publicly documented; per-token throttle",,"""Internet Service Availability"" tile (max download/upload, # of providers, fiber Y/N)","compass_artifact_wf-5f02d687-92af-4e88-a59b-55245ba3ca7c_text_markdown.md","line 285 CATEGORY 4","OK",,
"FBI Crime Data Explorer API",,"FBI",,"https://api.usa.gov/crime/fbi/cde/agency/byStateAbbr/AZ?API_KEY=YOUR_KEY","Free api.data.gov key at https://api.data.gov/signup/","Free","Annual (each fall for prior year)","state abbr, 9-char ORI agency code, date range","JSON","Yes","1,000 req/hr default (api.data.gov default)",,"""Crime Index"" tile — agency/ORI level (police department), NOT tract or ZIP","compass_artifact_wf-5f02d687-92af-4e88-a59b-55245ba3ca7c_text_markdown.md","line 295 CATEGORY 4","OK",,
"DOT FHWA — AADT (state DOT layers)",,"DOT FHWA / state DOTs",,"https://gis.data.ca.gov/datasets/...","None for state public services; NPMRDS requires RITIS sign-up (https://npmrds.ritis.org/)","Free","Annual (most DOTs)","lat/lng → spatial query against state's AADT FeatureServer","JSON / GeoJSON","Yes",,,"""Traffic Volume at Frontage"" tile (AADT on nearest roadway segment)","compass_artifact_wf-5f02d687-92af-4e88-a59b-55245ba3ca7c_text_markdown.md","line 305 CATEGORY 4","OK",,
"HUD Fair Market Rents API",,"HUD",,"https://www.huduser.gov/hudapi/public/fmr/data/0801499999?year=2026","Free bearer token at https://www.huduser.gov/hudapi/public/register?comingfrom=1 → My Account → Create New Token","Free","Annual (effective each October)","FIPS-based metro/county code + year; bearer token in Authorization header","JSON","No","Not publicly numbered",,"""Area Fair Market Rent (by Bedrooms)"" tile + ZIP-level Small-Area FMR comparison","compass_artifact_wf-5f02d687-92af-4e88-a59b-55245ba3ca7c_text_markdown.md","line 316 CATEGORY 5","OK",,
"HUD Income Limits API",,"HUD",,"https://www.huduser.gov/hudapi/public/il/data/0801499999?year=2025","same HUDUSER token","Free","Annual","FIPS-based metro/county code + year","JSON (50%, 80%, 30% AMI for 1-8 person HH)","No",,,"""Area Median Income / LIHTC Income Limits"" tile","compass_artifact_wf-5f02d687-92af-4e88-a59b-55245ba3ca7c_text_markdown.md","line 326 CATEGORY 5","OK",,
"HUD USPS Vacancy Data",,"HUD",,"https://www.huduser.gov/portal/usps/index.html","HUD-issued login (approval can take weeks)","Free","Quarterly","Census Tract","CSV","N/A",,,"""Address Vacancy (Residential + Business)"" tile — only if your firm qualifies for the sublicense","compass_artifact_wf-5f02d687-92af-4e88-a59b-55245ba3ca7c_text_markdown.md","line 335 CATEGORY 5","OK",,
"Census ACS — Housing Units (B25001/B25002)",,"Census Bureau",,,,"Free",,"tract/ZIP",,,,,"see Demographics #10","compass_artifact_wf-5f02d687-92af-4e88-a59b-55245ba3ca7c_text_markdown.md","line 345 CATEGORY 5","REVIEW",,
"Census Building Permits Survey (BPS)",,"Census Bureau",,"https://www.census.gov/construction/bps/","None","Free","Monthly preliminary (~12th workday) + revised (~17th)","filename pattern by YYMM","TXT (fixed-width) + Excel","No",,,"""Building Permits — 12-mo trend"" tile (MSA single-family + multifamily)","compass_artifact_wf-5f02d687-92af-4e88-a59b-55245ba3ca7c_text_markdown.md","line 347 CATEGORY 5","OK",,
"FHFA House Price Index",,"FHFA",,"https://www.fhfa.gov/data/hpi/datasets","Free FRED API key at https://fred.stlouisfed.org/docs/api/api_key.html","Free","Quarterly (MSA, county, tract); monthly (national, state, purchase-only)","FRED series ID per MSA (mapping table at FRED)","JSON (FRED) / CSV (FHFA)","Yes","120 req/min (FRED)",,"""MSA Home Price Index (10-yr Trend)"" tile","compass_artifact_wf-5f02d687-92af-4e88-a59b-55245ba3ca7c_text_markdown.md","line 356 CATEGORY 5","OK",,
"HUD Opportunity Zones (designated QOZ tracts)",,"HUD",,"https://services.arcgis.com/VTyQ9soqVukalItT/arcgis/rest/services/Opportunity_Zones/FeatureServer/0/query?geometry=-87.6298,41.8781&geometryType=esriGeometryPoint&inSR=4326&spatialRel=esriSpatialRelIntersects&outFields=GEOID10,STATE,COUNTY&returnGeometry=false&f=json","None","Free","Static 2018 designations (10-yr period); a new round under ""OZ 2.0"" is expected mid-2026","lat/lng point","JSON / GeoJSON","Yes",,,"""Opportunity Zone Y/N"" tile (key incentive flag for investors)","compass_artifact_wf-5f02d687-92af-4e88-a59b-55245ba3ca7c_text_markdown.md","line 366 CATEGORY 5","OK",,
"HUD LIHTC Properties",,"HUD",,"https://services.arcgis.com/VTyQ9soqVukalItT/arcgis/rest/services/LIHTC/FeatureServer/0/query?geometry=...&geometryType=esriGeometryEnvelope&...&f=geojson","None","Free","~Annual","ArcGIS spatial query (envelope or buffered point)","JSON / GeoJSON","Yes",,,"""LIHTC Properties Within Radius"" tile (competitive supply for affordable developers)","compass_artifact_wf-5f02d687-92af-4e88-a59b-55245ba3ca7c_text_markdown.md","line 375 CATEGORY 5","OK",,
"HUD Qualified Census Tracts (QCT)",,"HUD",,"https://services1.arcgis.com/FCaUeJ5SOVtImake/arcgis/rest/services/QCT_2025/FeatureServer/0/query?geometry=...&f=json","None","Free","Annual (2026 designations published September 2025)","point geometry","JSON / GeoJSON","Yes",,,"""Qualified Census Tract Y/N"" tile (LIHTC basis boost eligibility)","compass_artifact_wf-5f02d687-92af-4e88-a59b-55245ba3ca7c_text_markdown.md","line 384 CATEGORY 5","OK",,
"HUD Difficult Development Areas (DDA)",,"HUD",,"https://www.huduser.gov/portal/datasets/qct.html","None","Free","Annual (concurrent with QCT)",,"JSON / GeoJSON","Yes",,,"""DDA Y/N"" tile (30% basis boost eligibility)","compass_artifact_wf-5f02d687-92af-4e88-a59b-55245ba3ca7c_text_markdown.md","line 393 CATEGORY 5","OK",,
"EIA v2 — Retail Electricity Rates by State/Sector",,"EIA",,"https://api.eia.gov/v2/electricity/retail-sales/data/?api_key=YOUR_KEY&frequency=monthly&data[0]=price&data[1]=revenue&data[2]=sales&facets[stateid][]=CA&facets[sectorid][]=COM&start=2024-01&end=2026-04","Free key at https://www.eia.gov/opendata/register.php","Free","Monthly","stateid + sectorid (RES/COM/IND/TRA/ALL/OTH), date range","JSON","Yes","5,000 rows per page",,"""Avg Commercial Electricity Rate (¢/kWh)"" tile","compass_artifact_wf-5f02d687-92af-4e88-a59b-55245ba3ca7c_text_markdown.md","line 403 CATEGORY 6","OK",,
"NREL OpenEI — Utility Rates by ZIP (lookup utility from ZIP first)",,"NREL/NLR",,"https://developer.nlr.gov/api/utility_rates/v3.json?api_key=YOUR_KEY&address=85016","NREL/NLR developer key at https://developer.nlr.gov/signup/","Free","When EIA-861 refreshes","address OR lat+lon","JSON / XML","Yes","1,000 req/hr default",,"""Utility Provider + Avg Rates"" tile","compass_artifact_wf-5f02d687-92af-4e88-a59b-55245ba3ca7c_text_markdown.md","line 413 CATEGORY 6","OK",,
"NREL OpenEI URDB — Utility Rate Database (detailed tariffs)",,"NREL/NLR",,"https://api.openei.org/utility_rates?version=latest&format=json&detail=full&address=85016&api_key=YOUR_KEY","NREL/NLR key","Free","Continuously curated by NREL + crowd","address, lat+lon, or rate ID","JSON","Yes",,,"""Detailed Electric Tariff Structure"" tile (TOU, demand charges — critical for industrial CRE underwriting)","compass_artifact_wf-5f02d687-92af-4e88-a59b-55245ba3ca7c_text_markdown.md","line 423 CATEGORY 6","OK",,
"EIA v2 — Natural Gas Prices",,"EIA",,"https://api.eia.gov/v2/natural-gas/pri/sum/data/?api_key=YOUR_KEY&frequency=monthly&data[0]=value&facets[duoarea][]=SAZ&facets[process][]=PCS&start=2024-01","free EIA key","Free","Monthly","state code, process code","JSON","Yes",,,"""Avg Commercial Natural Gas Price"" tile","compass_artifact_wf-5f02d687-92af-4e88-a59b-55245ba3ca7c_text_markdown.md","line 432 CATEGORY 6","OK",,
"NREL PVWatts v8 — Solar Production Estimate",,"NREL/NLR",,"https://developer.nlr.gov/api/pvwatts/v8.json?api_key=YOUR_KEY&lat=33.45&lon=-112.07&system_capacity=100&module_type=0&losses=14&array_type=1&tilt=20&azimuth=180","NREL/NLR key","Free","When NSRDB TMY refreshes (last ~2020 TMY)","lat/lon + system specs","JSON (AC kWh/yr, monthly array, capacity factor)","Yes","1,000 req/hr",,"""Rooftop Solar Potential (kWh/yr per kW)"" tile (critical for industrial/distribution-center underwriting)","compass_artifact_wf-5f02d687-92af-4e88-a59b-55245ba3ca7c_text_markdown.md","line 441 CATEGORY 6","OK",,
"NREL NSRDB — Solar Resource Data",,"NREL/NLR",,"https://developer.nlr.gov/api/solar/solar_resource/v1.json?api_key=YOUR_KEY&lat=33.45&lon=-112.07","NREL/NLR key","Free",,"lat/lon","JSON (avg DNI, GHI, Tilt-at-Latitude monthly)","Yes",,,"Supplementary ""Solar Resource (kWh/m²/day)"" tile","compass_artifact_wf-5f02d687-92af-4e88-a59b-55245ba3ca7c_text_markdown.md","line 451 CATEGORY 6","OK",,
"Nationwide free zoning APIs by address",,,,,,,,,,,,,"None exist as fully free + nationwide. Zoneomics, Regrid (Landgrid), and ATTOM are all paid. Zoneomics offers 100,000 free tile calls for map overlay (no attribute query). Regrid offers a 7-day CC-gated trial only. Best free strategy: maintain a city-by-city ArcGIS REST registry","compass_artifact_wf-5f02d687-92af-4e88-a59b-55245ba3ca7c_text_markdown.md","line 460 CATEGORY 7","REVIEW",,
"NYC ZoLa / NYC DCP Zoning",,"NYC DCP",,"https://services5.arcgis.com/GfwWNkhOj9bNBqoJ/arcgis/rest/services/nyzd/FeatureServer/0/query?geometry=-73.9855,40.7580&geometryType=esriGeometryPoint&inSR=4326&spatialRel=esriSpatialRelIntersects&outFields=ZONEDIST,ZONEDIST_SIMPLE&returnGeometry=false&f=geojson","None","Free","When DCP changes (multiple times/yr); MaxRecordCount 4000","point geometry","JSON / GeoJSON / PBF; ZONEDIST like ""R9-1"", ""C6-2A""","Yes",,,"""Zoning District"" tile (NYC) — sibling layers for commercial overlays, special districts","compass_artifact_wf-5f02d687-92af-4e88-a59b-55245ba3ca7c_text_markdown.md","line 463 CATEGORY 7","OK",,
"LA City / LA County Zoning",,"LA City / LA County",,"https://geohub.lacity.org/datasets/lahub::zoning/about","None","Free",,"ArcGIS point query","JSON / GeoJSON","Yes",,,"""Zoning District"" (LA market)","compass_artifact_wf-5f02d687-92af-4e88-a59b-55245ba3ca7c_text_markdown.md","line 471 CATEGORY 7","OK",,
"Chicago Zoning",,"City of Chicago",,"https://data.cityofchicago.org/resource/7cve-jgbp.geojson?$where=within_circle(the_geom,41.8781,-87.6298,500)","Free Socrata App Token (X-App-Token) at https://dev.socrata.com","Free","With ordinance changes","SoQL $where with spatial functions","JSON / GeoJSON / CSV / XML","Yes",,,"""Zoning District"" (Chicago)","compass_artifact_wf-5f02d687-92af-4e88-a59b-55245ba3ca7c_text_markdown.md","line 478 CATEGORY 7","OK",,
"Houston permitting (no zoning — but permits available)",,"City of Houston",,"https://data.houstontx.gov/resource/...",,"Free",,,,"Yes",,,"""Building Permit History"" tile","compass_artifact_wf-5f02d687-92af-4e88-a59b-55245ba3ca7c_text_markdown.md","line 487 CATEGORY 7","OK",,
