source_name,type,provider,category,endpoint_url,auth,price_tier,update_freq,granularity,fields_returned,cors,rate_limit,integration_path,cre_use,source_file,source_locator,status_flag,provenance_files,occurrence_count
EH-01 · OpenFEMA — NFIP Flood Policies,RAW_API,,demographic,https://www.fema.gov/api/open/v2/FimaNfipPolicies?$filter=countyCode%20eq%20,None required,Free,Every 40–60 days,ZIP code,"JSON / CSV | Specific Fields: State, ZIP, coverage amount, policy count, occupancy type, base flood elevation, flood zone",Yes,"10,000 records per API response; paginate with $skip; no documented daily query limit",BUILD_RAW_API,"INPUT: OData filters: countyCode, state, censusTract, reportedZipCode, floodZone; $top (max 10,000 per call); $skip for pagination [^22] | CRE USE: Flood insurance exposure analysis; NFIP participation rates as flood risk proxy; insurance cost modeling for due diligence",CRE API Endpoint Catalog  100-Endpoint Master Reference.md; Insurance Shock Intelligence Stack  Complete Free & Freemium Data Source Map for US Property Insurance Risk (2024–2026).md,CRE API Endpoint Catalog  100-Endpoint Master Reference.md@line 491: EH-01 · OpenFEMA — NFIP Flood Policies || Insurance Shock Intelligence Stack  Complete Free & Freemium Data Source Map for US Property Insurance Risk (2024–2026).md@line 114,REVIEW,CRE API Endpoint Catalog  100-Endpoint Master Reference.md; Insurance Shock Intelligence Stack  Complete Free & Freemium Data Source Map for US Property Insurance Risk (2024–2026).md,2
EH-02 · OpenFEMA — NFIP Claims,RAW_API,,hazard_environmental,https://www.fema.gov/api/open/v2/FimaNfipClaims?$filter=state%20eq%20,None required,Free,Every 40–60 days,ZIP code (redacted for privacy),"JSON — building/contents/ICC damage amounts, year of loss, original construction date, flood zone, community rating system (CRS) discount [^22]",Yes,"No key; 1,000/call; updated every 40–60 days[^75]",BUILD_RAW_API,INPUT: state; countyCode; censusTract; yearOfLoss; floodZone; reportedCity | CRE USE: Historical flood loss experience at property location; insurance underwriting for commercial property; repetitive loss property identification,CRE API Endpoint Catalog  100-Endpoint Master Reference.md; Insurance Shock Intelligence Stack  Complete Free & Freemium Data Source Map for US Property Insurance Risk (2024–2026).md,CRE API Endpoint Catalog  100-Endpoint Master Reference.md@line 508: EH-02 · OpenFEMA — NFIP Claims || Insurance Shock Intelligence Stack  Complete Free & Freemium Data Source Map for US Property Insurance Risk (2024–2026).md@line 113,REVIEW,CRE API Endpoint Catalog  100-Endpoint Master Reference.md; Insurance Shock Intelligence Stack  Complete Free & Freemium Data Source Map for US Property Insurance Risk (2024–2026).md,2
EH-04 · FEMA National Flood Hazard Layer (NFHL) via ArcGIS REST,RAW_API,FEMA,hazard_environmental,"https://hazards.fema.gov/arcgis/rest/services/public/NFHL/MapServer/28/query?geometry=-77.0369,38.9072&geometryType=esriGeometryPoint&inSR=4326&spatialRel=esriSpatialRelIntersects&outFields=FLD_ZONE,ZONE_SUBTY,STATIC_BFE&returnGeometry=false&f=geojson",None required,Free,Effective FIRM panels as LOMC/LOMA amendments posted,lat/lng point,"GeoJSON — Special Flood Hazard Area (SFHA) polygons; flood zones (A, AE, AH, AO, V, X, etc.); base flood elevation (BFE); community ID; effective map date [^24]",Yes,ArcGIS Server standard,BUILD_RAW_API,INPUT: geometry (bounding box or point); geometryType; inSR=4326; outFields; f=geojson | CRE USE: Flood zone determination for insurance requirements and LOC underwriting; site-level SFHA percentage for risk scoring; Elevation Certificate triggers,CRE API Endpoint Catalog  100-Endpoint Master Reference.md; compass_artifact_wf-5f02d687-92af-4e88-a59b-55245ba3ca7c_text_markdown.md,CRE API Endpoint Catalog  100-Endpoint Master Reference.md@line 542: EH-04 · FEMA National Flood Hazard Layer (NFHL) via ArcGIS REST || compass_artifact_wf-5f02d687-92af-4e88-a59b-55245ba3ca7c_text_markdown.md@line 120 CATEGORY 3,REVIEW,CRE API Endpoint Catalog  100-Endpoint Master Reference.md; compass_artifact_wf-5f02d687-92af-4e88-a59b-55245ba3ca7c_text_markdown.md,2
EH-05 · USGS Earthquake Hazards — FDSN Event API,RAW_API,,hazard_environmental,https://earthquake.usgs.gov/fdsnws/event/1/query?format=geojson&minmagnitude=3.0&starttime=2015-01-01&endtime=2025-01-01&minlatitude=36&maxlatitude=42&minlongitude=-91&maxlongitude=-87,None required,Fully free[^68][^69][^70],Near real-time (events posted within minutes),Parcel-level (lat/lon),"GeoJSON / CSV / XML[^62] | Specific Fields: Magnitude, depth, lat/lon, time, place description, significance score, tsunami flag[^62]",Yes,"No documented limit; courtesy limit ~20,000 events per query",BUILD_RAW_API,"INPUT: format (geojson, csv, text); minmagnitude; starttime; endtime; bounding box lat/lon OR latitude+longitude+maxradiuskm (point search) [^25] | CRE USE: Seismic risk assessment for structural engineering; insurance premium estimation for commercial buildings; exclusion zone analysis for industrial/data centers",CRE API Endpoint Catalog  100-Endpoint Master Reference.md; Insurance Shock Intelligence Stack  Complete Free & Freemium Data Source Map for US Property Insurance Risk (2024–2026).md; US CRE Intelligence Terminal  Complete Free Data Source Catalog.md,CRE API Endpoint Catalog  100-Endpoint Master Reference.md@line 559: EH-05 · USGS Earthquake Hazards — FDSN Event API || Insurance Shock Intelligence Stack  Complete Free & Freemium Data Source Map for US Property Insurance Risk (2024–2026).md@line 103 || US CRE Intelligence Terminal  Complete Free Data Source Catalog.md@line 65,REVIEW,CRE API Endpoint Catalog  100-Endpoint Master Reference.md; Insurance Shock Intelligence Stack  Complete Free & Freemium Data Source Map for US Property Insurance Risk (2024–2026).md; US CRE Intelligence Terminal  Complete Free Data Source Catalog.md,3
EH-14 · NREL PVWatts API — Solar Energy Production,RAW_API,NREL/NLR,infrastructure,https://developer.nlr.gov/api/pvwatts/v8.json?api_key=YOUR_KEY&address=233+S+Wacker+Chicago+IL&system_capacity=100&azimuth=180&tilt=20&array_type=1&module_type=0&losses=14,Free NREL/NLR key. Register: https://developer.nlr.gov/signup/ (https://developer.nlr.gov/signup/),Free,Static solar resource database (NSRDB 2022 base),lat/lon + system specs,"JSON — annual/monthly AC energy output (kWh), capacity factor, solar resource data, station info",Yes,"1,000 hourly; 10,000 daily",BUILD_RAW_API,"INPUT: address or lat+lon; system_capacity (kW); azimuth; tilt; array_type (0=fixed, 1=1-axis tracking); module_type (0=standard, 1=premium, 2=thin film); losses (%) [^32][^33] | CRE USE: Rooftop solar feasibility for CRE assets; green building scoring; net-zero energy planning for industrial/warehouse; NNN lease utility cost modeling",CRE API Endpoint Catalog  100-Endpoint Master Reference.md; compass_artifact_wf-5f02d687-92af-4e88-a59b-55245ba3ca7c_text_markdown.md,CRE API Endpoint Catalog  100-Endpoint Master Reference.md@line 712: EH-14 · NREL PVWatts API — Solar Energy Production || compass_artifact_wf-5f02d687-92af-4e88-a59b-55245ba3ca7c_text_markdown.md@line 441 CATEGORY 6,REVIEW,CRE API Endpoint Catalog  100-Endpoint Master Reference.md; compass_artifact_wf-5f02d687-92af-4e88-a59b-55245ba3ca7c_text_markdown.md,2
NREL OpenEI — Utility Rates by ZIP (lookup utility from ZIP first),RAW_API,NREL/NLR,demographic,https://developer.nlr.gov/api/utility_rates/v3.json?api_key=YOUR_KEY&lat=41.8781&lon=-87.6298,NREL/NLR developer key at https://developer.nlr.gov/signup/,Free,EIA Form 861 annual update,address OR lat+lon,"JSON — utility name, EIA utility ID, commercial/residential/industrial electricity rates ($/kWh), effective date, rate schedule type [^32]",Yes,"1,000 hourly; 10,000 daily",BUILD_RAW_API,INPUT: lat; lon; address (alternative) | CRE USE: Operating expense modeling for industrial/data center; NNN utility cost budgeting; energy arbitrage for data center site selection,CRE API Endpoint Catalog  100-Endpoint Master Reference.md; compass_artifact_wf-5f02d687-92af-4e88-a59b-55245ba3ca7c_text_markdown.md,CRE API Endpoint Catalog  100-Endpoint Master Reference.md@line 816: IA-06 · NREL Utility Rates API v3 — Electricity Rates by Location || compass_artifact_wf-5f02d687-92af-4e88-a59b-55245ba3ca7c_text_markdown.md@line 413 CATEGORY 6,REVIEW,CRE API Endpoint Catalog  100-Endpoint Master Reference.md; compass_artifact_wf-5f02d687-92af-4e88-a59b-55245ba3ca7c_text_markdown.md,2
HR-08 · Regrid Parcel API v2 — Spatial (Point/Radius/Bbox) Search,RAW_API,,hazard_environmental,https://app.regrid.com/api/v1/search.json?query=233+S+Wacker+Dr+Chicago+IL&token=YOUR_TOKEN&return_custom=true,Regrid account token (subscription plans). Register: https://app.regrid.com/ (https://app.regrid.com/),,Continuous (county assessor feeds; 99% US coverage),,"GeoJSON — zoning (municipal code), usecode (county assessor use code), usedesc (use description), lbcs_function (Land-Based Classification Standard function code) [^50][^48]",Yes,10 simultaneous requests; ~200 req/min; additional capacity via sales [^48],BUILD_RAW_API,"INPUT: query (address string); path (state/county FIPS path filter); limit (1–1000, default 20); token | CRE USE: Parcel-level ownership; land use and zoning confirmation; site area and geometry for development feasibility; adjacent parcel assembly analysis",CRE API Endpoint Catalog  100-Endpoint Master Reference.md,CRE API Endpoint Catalog  100-Endpoint Master Reference.md@line 1005: HR-07 · Regrid Parcel API v2 — Address Search || CRE API Endpoint Catalog  100-Endpoint Master Reference.md@line 1022: HR-08 · Regrid Parcel API v2 — Spatial (Point/Radius/Bbox) Search || CRE API Endpoint Catalog  100-Endpoint Master Reference.md@line 1319: ZL-02 · Regrid Parcel API — Land Use Code & Zoning Field,REVIEW,CRE API Endpoint Catalog  100-Endpoint Master Reference.md,3
EU-01 · EIA API v2 — Electricity Retail Sales & Prices,RAW_API,EIA,demographic,https://api.eia.gov/v2/electricity/retail-sales/data/?api_key=YOUR_KEY&frequency=monthly&data[0]=price&data[1]=revenue&data[2]=sales&facets[stateid][]=CA&facets[sectorid][]=COM&start=2024-01&end=2026-04,Free EIA key. Register: https://www.eia.gov/opendata/register.php (https://www.eia.gov/opendata/register.php),Free,Monthly (~2-month lag),"stateid + sectorid (RES/COM/IND/TRA/ALL/OTH), date range","JSON — monthly electricity sales (MWh), revenue ($k), customers, average retail price (cents/kWh) by sector and state",Yes,"5,000 rows per page",BUILD_RAW_API,"INPUT: api_key; frequency (monthly, annual); facets[stateid][]; facets[sectorName][] (residential, commercial, industrial, transportation); data[] (sales kWh, revenue $, customers, price) [^57][^58] | CRE USE: Commercial electricity pricing for NNN lease operating expense modeling; industrial energy cost benchmarking; data center utility cost due diligence",CRE API Endpoint Catalog  100-Endpoint Master Reference.md; Industrial & Logistics CRE Demand-Signal Intelligence Layer  Free Endpoint-Grade Data Sources.md; Power-Constrained Markets & Data-Center Site Selection  Exhaustive Free Freemium Data Source Map for US CRE Intelligence Terminal.md; compass_artifact_wf-5f02d687-92af-4e88-a59b-55245ba3ca7c_text_markdown.md,CRE API Endpoint Catalog  100-Endpoint Master Reference.md@line 1162: EU-01 · EIA API v2 — Electricity Retail Sales & Prices || Industrial & Logistics CRE Demand-Signal Intelligence Layer  Free Endpoint-Grade Data Sources.md@line 137 || Power-Constrained Markets & Data-Center Site Selection  Exhaustive Free Freemium Data Source Map for US CRE Intelligence Terminal.md@line 21 || Power-Constrained Markets & Data-Center Site Selection  Exhaustive Free Freemium Data Source Map for US CRE Intelligence Terminal.md@line 25 || compass_artifact_wf-5f02d687-92af-4e88-a59b-55245ba3ca7c_text_markdown.md@line 403 CATEGORY 6,REVIEW,CRE API Endpoint Catalog  100-Endpoint Master Reference.md; Industrial & Logistics CRE Demand-Signal Intelligence Layer  Free Endpoint-Grade Data Sources.md; Power-Constrained Markets & Data-Center Site Selection  Exhaustive Free Freemium Data Source Map for US CRE Intelligence Terminal.md; compass_artifact_wf-5f02d687-92af-4e88-a59b-55245ba3ca7c_text_markdown.md,5
EU-02 · EIA API v2 — Natural Gas Citygate Prices,RAW_API,EIA,economic,https://api.eia.gov/v2/natural-gas/pri/sum/data/?api_key=YOUR_KEY&frequency=monthly&data[0]=value&facets[duoarea][]=SAZ&facets[process][]=PCS&start=2024-01,Same EIA key,Free,Monthly,"state code, process code",JSON — $/MCF gas price by sector/state/month,Yes,"5,000 requests/day",BUILD_RAW_API,"INPUT: facets[duoarea][] (state code, e.g., S_ILL); facets[process][] (PCS=commercial sold, PRS=residential, PIN=industrial, PCG=city gate); frequency (monthly, annual) [^59] | CRE USE: HVAC operating cost analysis; NNN lease CAM cost reconciliation; energy-intensive industrial tenant lease economics",CRE API Endpoint Catalog  100-Endpoint Master Reference.md; compass_artifact_wf-5f02d687-92af-4e88-a59b-55245ba3ca7c_text_markdown.md,CRE API Endpoint Catalog  100-Endpoint Master Reference.md@line 1179: EU-02 · EIA API v2 — Natural Gas Citygate Prices || compass_artifact_wf-5f02d687-92af-4e88-a59b-55245ba3ca7c_text_markdown.md@line 432 CATEGORY 6,REVIEW,CRE API Endpoint Catalog  100-Endpoint Master Reference.md; compass_artifact_wf-5f02d687-92af-4e88-a59b-55245ba3ca7c_text_markdown.md,2
EU-05 · EIA API v2 — Electric Power Hourly Demand (RTO),RAW_API,,demographic,https://api.eia.gov/v2/electricity/rto/fuel-type-data/data/?api_key=YOUR_KEY&frequency=hourly&data=value&facets[respondent,Same EIA key [^57],Free,Hourly (near real-time),Balancing Authority,JSON | Specific Fields Returned: MWh by fuel type (coal/gas/nuclear/solar/wind/hydro/other),Yes,"5,000 requests/day",BUILD_RAW_API,"INPUT: facets[respondent][] (RTO: MISO, PJM, CAISO, ERCOT); facets[fueltype][] (NG, SUN, WND, COL, WAT, NUC, OIL); frequency=hourly | CRE USE: Grid stability risk for data center/critical facility; renewable energy percentage calculation for ESG reporting; peak demand cost assessment",CRE API Endpoint Catalog  100-Endpoint Master Reference.md; Power-Constrained Markets & Data-Center Site Selection  Exhaustive Free Freemium Data Source Map for US CRE Intelligence Terminal.md,CRE API Endpoint Catalog  100-Endpoint Master Reference.md@line 1230: EU-05 · EIA API v2 — Electric Power Hourly Demand (RTO) || Power-Constrained Markets & Data-Center Site Selection  Exhaustive Free Freemium Data Source Map for US CRE Intelligence Terminal.md@line 23,REVIEW,CRE API Endpoint Catalog  100-Endpoint Master Reference.md; Power-Constrained Markets & Data-Center Site Selection  Exhaustive Free Freemium Data Source Map for US CRE Intelligence Terminal.md,2
EU-07 · NREL National Solar Radiation Database (NSRDB) API,RAW_API,NREL/NLR,energy,https://developer.nlr.gov/api/solar/solar_resource/v1.json?api_key=YOUR_KEY&lat=41.878&lon=-87.630,Free NREL/NLR key,Free,Static (NSRDB 2022 PSM v3 base),lat/lon,"JSON — annual/monthly solar resource data: Global Horizontal Irradiance (GHI), Direct Normal Irradiance (DNI), Diffuse Horizontal Irradiance (DHI), wind speed",Yes,"1,000 hourly; 10,000 daily",BUILD_RAW_API,INPUT: lat; lon; api_key | CRE USE: Solar feasibility for rooftop PV on CRE assets; daylighting analysis for office/retail; ground-mount solar for industrial/vacant land,CRE API Endpoint Catalog  100-Endpoint Master Reference.md; compass_artifact_wf-5f02d687-92af-4e88-a59b-55245ba3ca7c_text_markdown.md,CRE API Endpoint Catalog  100-Endpoint Master Reference.md@line 1264: EU-07 · NREL National Solar Radiation Database (NSRDB) API || compass_artifact_wf-5f02d687-92af-4e88-a59b-55245ba3ca7c_text_markdown.md@line 451 CATEGORY 6,REVIEW,CRE API Endpoint Catalog  100-Endpoint Master Reference.md; compass_artifact_wf-5f02d687-92af-4e88-a59b-55245ba3ca7c_text_markdown.md,2
ZL-04 · National Zoning Atlas — API Access,RAW_API,,demographic,https://www.zoningatlas.org,None required for state atlas downloads; ArcGIS REST endpoints public,"Free (nonprofit, open data)",State-by-state coverage expanding through 2026,"National (33,000+ jurisdictions in progress)[^13]","Shapefile / GeoJSON | Specific Fields Returned: Residential zone types, min lot size, multifamily allowance, ADU rules, setbacks, by-right vs. discretionary[^13][^56]",Yes (ArcGIS REST),ArcGIS standard,BUILD_RAW_API,"Zoning Reform Context Tile; Policy Friction Layer | Cross-Verifiable With: Regrid, city GIS portals | Notes / Gotchas: Standardized, research-grade. Not parcel-level — jurisdiction-level polygons. Coverage uneven: CT, VT, OH, TX, AZ well-covered; others partial[^14][^15]. Best for jurisdiction-level friction scoring.","CRE API Endpoint Catalog  100-Endpoint Master Reference.md; US Zoning, Entitlement & Parcel Data  Free Freemium Source Map for CRE Intelligence Terminals.md","CRE API Endpoint Catalog  100-Endpoint Master Reference.md@line 1344: ZL-04 · National Zoning Atlas — API Access || US Zoning, Entitlement & Parcel Data  Free Freemium Source Map for CRE Intelligence Terminals.md@line 16 || US Zoning, Entitlement & Parcel Data  Free Freemium Source Map for CRE Intelligence Terminals.md@line 47",REVIEW,"CRE API Endpoint Catalog  100-Endpoint Master Reference.md; US Zoning, Entitlement & Parcel Data  Free Freemium Source Map for CRE Intelligence Terminals.md",3
IS-15 · Israeli Planning Administration — TABA National Outline Plans,DATASET_PORTAL,data.gov.il,construction_pipeline,https://data.gov.il/api/3/action/package_search?q=building+permits&fq=organization:piba&rows=20&start=0,Anonymous works for public datasets; API key needed for writes,Free,Per plan approval (statutory process),"standard CKAN actions (package_list, package_show, datastore_search, datastore_search_sql)","JSON — {success, result:{count, results:[{id, name, title, notes, resources:[{url, format, name}], organization:{name, title}}]}}",Partial,None documented,BUILD_RAW_API,"INPUT: Plan number; geography (district, city); plan type (residential, commercial, tourism, transportation) | CRE USE: Strategic site evaluation against national planning framework; Israeli development entitlement process due diligence; TMA (transportation master plan) impact on site access",CRE API Endpoint Catalog  100-Endpoint Master Reference.md; compass_artifact_wf-5f02d687-92af-4e88-a59b-55245ba3ca7c_text_markdown.md,CRE API Endpoint Catalog  100-Endpoint Master Reference.md@line 1431: IS-01 · data.gov.il CKAN API — Dataset Search || CRE API Endpoint Catalog  100-Endpoint Master Reference.md@line 1516: IS-06 · Israel CBS — New Dwelling Starts & Completions || CRE API Endpoint Catalog  100-Endpoint Master Reference.md@line 1567: IS-09 · Israel Land Authority (ILA) — GIS Data via data.gov.il || CRE API Endpoint Catalog  100-Endpoint Master Reference.md@line 1669: IS-15 · Israeli Planning Administration — TABA National Outline Plans || compass_artifact_wf-5f02d687-92af-4e88-a59b-55245ba3ca7c_text_markdown.md@line 539 CATEGORY 8,REVIEW,CRE API Endpoint Catalog  100-Endpoint Master Reference.md; compass_artifact_wf-5f02d687-92af-4e88-a59b-55245ba3ca7c_text_markdown.md,5
IS-16 · Israeli Ministry of Interior — Municipalities & Local Council Data,DATASET_PORTAL,,demographic,https://data.gov.il/api/3/action/datastore_search?resource_id={CBS_POPULATION_BY_LOCALITY_RESOURCE_ID}&filters={,None required via data.gov.il,,Every ~5 years (per CBS socioeconomic classification cycle),,"JSON — locality name (Hebrew/Arabic/English), population, households, area (sqkm), population density, majority religion/ethnicity, socioeconomic cluster rank",Yes,None documented,BUILD_RAW_API,"INPUT: resource_id (UUID of specific tabular resource from IS-02); filters (JSON object of column=value); q (full-text search); fields (column subset); sort; limit; offset | CRE USE: Direct tabular access to Israeli housing data, building permits, population counts, transaction prices, urban planning decisions",CRE API Endpoint Catalog  100-Endpoint Master Reference.md,CRE API Endpoint Catalog  100-Endpoint Master Reference.md@line 1465: IS-03 · data.gov.il CKAN API — Datastore Search (Tabular Query) || CRE API Endpoint Catalog  100-Endpoint Master Reference.md@line 1533: IS-07 · Israel Ministry of Finance — Real Estate Transaction Prices || CRE API Endpoint Catalog  100-Endpoint Master Reference.md@line 1550: IS-08 · Israel Building Permits — PIBA Data via data.gov.il || CRE API Endpoint Catalog  100-Endpoint Master Reference.md@line 1584: IS-10 · Israel Census & Population Register — Population by City/Locality || CRE API Endpoint Catalog  100-Endpoint Master Reference.md@line 1618: IS-12 · Israeli Ministry of Housing — Rental Price Index || CRE API Endpoint Catalog  100-Endpoint Master Reference.md@line 1686: IS-16 · Israeli Ministry of Interior — Municipalities & Local Council Data,REVIEW,CRE API Endpoint Catalog  100-Endpoint Master Reference.md,6
US Real Estate (DataScraper),SCRAPE_TARGET,,infrastructure,rapidapi.com/datascraper/api/us-real-estate,,300 req/mo[^1],,,,,,UNKNOWN,"Property-Level CRE Data?: Y — address search, listing type, square footage, lot size, owner, estimates, schools, noise score, commute time[^1] | Live Tile / Ticker: Property detail card, listing map pin | Notes: Updated ~daily; commercial + residential; best all-in-one on RapidAPI[^1]",CRE Intelligence Terminal  Complete API Data Map (May 2026).md,CRE Intelligence Terminal  Complete API Data Map (May 2026).md@line 15 || CRE Intelligence Terminal  Complete API Data Map (May 2026).md@line 133,REVIEW,CRE Intelligence Terminal  Complete API Data Map (May 2026).md,2
Realty in US (Api Dojo),UNKNOWN,,news_sentiment,rapidapi.com/apidojo/api/realty-in-us,,~100 req/mo (freemium),,,,,,UNKNOWN,"Property-Level CRE Data?: Y — for-sale, for-rent, sold, agent data[^2] | Live Tile / Ticker: Active listing tracker, price history sparkline | Notes: Mirrors Realtor.com data; deprecated endpoints; popularity 9.9[^3]",CRE Intelligence Terminal  Complete API Data Map (May 2026).md,CRE Intelligence Terminal  Complete API Data Map (May 2026).md@line 16 || CRE Intelligence Terminal  Complete API Data Map (May 2026).md@line 134,REVIEW,CRE Intelligence Terminal  Complete API Data Map (May 2026).md,2
ATTOM Property (RapidAPI listing),UNKNOWN,,zoning_parcel,rapidapi.com/attomdatasolutions/api/attom-property,,10 req/mo[^5],,,,,,UNKNOWN,"Property-Level CRE Data?: Y — 158M+ properties, tax, deed, mortgage, foreclosure, AVM, school, flood[^8] | Live Tile / Ticker: Ownership & tax history tile | Notes: Free tier too small for production; go direct[^9]",CRE Intelligence Terminal  Complete API Data Map (May 2026).md,CRE Intelligence Terminal  Complete API Data Map (May 2026).md@line 19 || CRE Intelligence Terminal  Complete API Data Map (May 2026).md@line 135,REVIEW,CRE Intelligence Terminal  Complete API Data Map (May 2026).md,2
Mashvisor (Airbnb Rates & RE Analysis),UNKNOWN,,capital_markets,rapidapi.com/mashvisor-team/api/mashvisor,,Free trial (limited),,,,,,UNKNOWN,"Property-Level CRE Data?: Y — cap rate, cash-on-cash return, NOI, Airbnb occupancy, price estimate, rental income, neighborhood analytics[^14] | Live Tile / Ticker: Cap rate tile, COC return widget, neighborhood heatmap | Notes: One of few RapidAPI APIs that surfaces cap rate and NOI directly[^3]",CRE Intelligence Terminal  Complete API Data Map (May 2026).md,CRE Intelligence Terminal  Complete API Data Map (May 2026).md@line 30 || CRE Intelligence Terminal  Complete API Data Map (May 2026).md@line 146,REVIEW,CRE Intelligence Terminal  Complete API Data Map (May 2026).md,2
Rent Estimate (Realty Mole / RentCast),UNKNOWN,,housing_re,rapidapi.com/moneals/api/rent-estimate,,50 req/mo[^5],,,,,,UNKNOWN,Property-Level CRE Data?: Y — address-level rent estimate + comparable rentals[^5] | Live Tile / Ticker: Rent estimate widget | Notes: Deprecated on RapidAPI; use RentCast direct API[^15],CRE Intelligence Terminal  Complete API Data Map (May 2026).md,CRE Intelligence Terminal  Complete API Data Map (May 2026).md@line 31 || CRE Intelligence Terminal  Complete API Data Map (May 2026).md@line 42 || CRE Intelligence Terminal  Complete API Data Map (May 2026).md@line 160,REVIEW,CRE Intelligence Terminal  Complete API Data Map (May 2026).md,3
Alpha Vantage (direct),UNKNOWN,,demographic,alphavantage.co,,25 req/day free[^24],,,,,,UNKNOWN,"Y — REIT price (e.g., VNQ, XLRE), Treasury yields, SOFR proxies, FX (USD/ILS)[^25] | Live Tile / Ticker: REIT price ticker, yield curve tile | Notes: NASDAQ official vendor; free tier thin but functional[^25]",CRE Intelligence Terminal  Complete API Data Map (May 2026).md,CRE Intelligence Terminal  Complete API Data Map (May 2026).md@line 79 || CRE Intelligence Terminal  Complete API Data Map (May 2026).md@line 189,REVIEW,CRE Intelligence Terminal  Complete API Data Map (May 2026).md,2
"NY Fed SOFR API (direct, free)",UNKNOWN,,demographic,https://www.newyorkfed.org/markets/reference-rates/sofr,NONE,"Unlimited, free[^26]",,,JSON / CSV,,,BUILD_RAW_API,"Rate ticker, sparkline | CRE Relevance: Benchmark floating-rate index; directly prices CRE loans, construction financing, and CMBS coupon reset[^1][^2] | Indicator: SOFR (Secured Overnight Financing Rate) | Series ID / Slug: SOFR (FRED: SOFR) | Cadence & Release Time (ET): Daily, ~8:00 AM | Lag from Period-End: T+1 business day",CRE Intelligence Terminal  Complete API Data Map (May 2026).md; US Macro & Sentiment Indicator Layer — CRE Intelligence Terminal (1).md; US Macro & Sentiment Indicator Layer — CRE Intelligence Terminal.md,CRE Intelligence Terminal  Complete API Data Map (May 2026).md@line 80 || US Macro & Sentiment Indicator Layer — CRE Intelligence Terminal (1).md@line 24 || US Macro & Sentiment Indicator Layer — CRE Intelligence Terminal.md@line 24,REVIEW,CRE Intelligence Terminal  Complete API Data Map (May 2026).md; US Macro & Sentiment Indicator Layer — CRE Intelligence Terminal (1).md; US Macro & Sentiment Indicator Layer — CRE Intelligence Terminal.md,3
CurrencyFreaks / Fixer.io (direct),UNKNOWN,,israeli,currencyfreaks.com,,Freemium,,,,,,UNKNOWN,Partial — USD/ILS and 150+ FX rates[^28] | Live Tile / Ticker: USD/ILS live tile | Notes: Relevant if your portfolio has Israeli capital partners[^28],CRE Intelligence Terminal  Complete API Data Map (May 2026).md,CRE Intelligence Terminal  Complete API Data Map (May 2026).md@line 83 || CRE Intelligence Terminal  Complete API Data Map (May 2026).md@line 192,REVIEW,CRE Intelligence Terminal  Complete API Data Map (May 2026).md,2
RentCast (pre-foreclosure limited),UNKNOWN,,housing_re,rentcast.io/api,,"Free: 2 req/mo; Starter $29/mo (100 req); Growth $99/mo (500 req); Pro $199/mo (2,000 req)[^30]",,,"140M+ property records, owner info, AVM, rent estimates, comps, listings, market trends (ZIP level)[^6]",,,UNKNOWN,Valuation + comps carousel[^6] | Free/mo: 2–50[^30] | CRE Data Y/N: Y,CRE Intelligence Terminal  Complete API Data Map (May 2026).md,CRE Intelligence Terminal  Complete API Data Map (May 2026).md@line 92 || CRE Intelligence Terminal  Complete API Data Map (May 2026).md@line 136 || CRE Intelligence Terminal  Complete API Data Map (May 2026).md@line 149 || CRE Intelligence Terminal  Complete API Data Map (May 2026).md@line 157 || CRE Intelligence Terminal  Complete API Data Map (May 2026).md@line 169,REVIEW,CRE Intelligence Terminal  Complete API Data Map (May 2026).md,5
ATTOM Data,UNKNOWN,,zoning_parcel,api.developer.attomdata.com,,"$95/mo (5,000 calls, ~$0.019/call)[^7]; 30-day free trial[^9]",,,"158M+ properties, tax, deed, mortgage, AVM, foreclosure, flood, school, neighborhood[^31]",,,UNKNOWN,AVM + comps panel[^8] | Free/mo: Trial[^9] | CRE Data Y/N: Y,CRE Intelligence Terminal  Complete API Data Map (May 2026).md,CRE Intelligence Terminal  Complete API Data Map (May 2026).md@line 93 || CRE Intelligence Terminal  Complete API Data Map (May 2026).md@line 148,REVIEW,CRE Intelligence Terminal  Complete API Data Map (May 2026).md,2
PropertyRadar,UNKNOWN,,zoning_parcel,propertyradar.com,,$600/mo for API access[^37],,,"Hyperlocal property/owner data, marketed lists, CRE filters",,,UNKNOWN,What It Does: Owner prospecting with 250+ search filters. Strong for distressed lead generation. | Key Features: \- 250+ property and owner search criteria \- Pre-foreclosure and auction tracking \- Owner mailing list generation \- Equity and mortgage analysis \- Absentee owner identification \- Custom list building and export,CRE Intelligence Terminal  Complete API Data Map (May 2026).md; Terminal_Master_Tool_Intelligence_Inventory.md; Terminal_Master_Tool_Inventory (2).md,CRE Intelligence Terminal  Complete API Data Map (May 2026).md@line 98 || Terminal_Master_Tool_Intelligence_Inventory.md@line 81 || Terminal_Master_Tool_Inventory (2).md@line 237: 7\. PropertyRadar,REVIEW,CRE Intelligence Terminal  Complete API Data Map (May 2026).md; Terminal_Master_Tool_Intelligence_Inventory.md; Terminal_Master_Tool_Inventory (2).md,3
