"GDELT DOC 2.0 — Base Endpoint",,"GDELT",,"https://api.gdeltproject.org/api/v2/doc/doc","No API key required. No registration.",,,,,,"IP-based soft throttle on heavy bursts",,"Live news tiles, CRE News Ticker","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 1 / Lines 9-15",,,
"GDELT DOC 2.0 — ToneChart Sentiment JSON",,"GDELT",,"https://api.gdeltproject.org/api/v2/doc/doc?query=(CMBS%20OR%20%22office%20vacancy%22%20OR%20%22commercial%20real%20estate%20distress%22)%20sourcecountry:US&mode=tonechart&format=json&timespan=30d","No API key",,"15-min update",,"JSON",,"IP-based soft throttle",,"Sentiment histogram","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 1 / Lines 55-57",,,
"GDELT DOC 2.0 — Python httpx Example Endpoint",,"GDELT",,"https://api.gdeltproject.org/api/v2/doc/doc","No API key",,"15-min update",,"JSON",,"IP-based soft throttle",,"Python integration example","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 1 / Lines 80-99",,,
"GDELT DOC 2.0 — curl Example Endpoint",,"GDELT",,"https://api.gdeltproject.org/api/v2/doc/doc","No API key",,,,,,"IP-based soft throttle",,"curl integration example","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 1 / Lines 103-111",,,
"GDELT DOC 2.0 — GKG Theme Filter Query",,"GDELT",,"https://api.gdeltproject.org/api/v2/doc/doc?query=(theme:ECON_HOUSING%20OR%20theme:REAL_ESTATE%20OR%20theme:ECON_BANKRUPTCY%20OR%20theme:EPU_CATS_REGULATION)%20sourcecountry:US&mode=artlist&format=json&timespan=7d&maxrecords=250","No API key",,"15-min update",,"JSON",,"IP-based soft throttle",,"Housing/Real estate distress themes filter","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 1 / Lines 128-131",,,
"GDELT GKG Theme Lookup",,"GDELT",,"https://api.gdeltproject.org/api/v2/summary/summary?d=web&t=themes","No API key",,,,,,,,"Full GKG Theme master list lookup","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 1 / Lines 133-136",,,
"GDELT GKG 2.0 Raw File Download",,"GDELT",,"http://data.gdeltproject.org/gdeltv2/YYYYMMDDHHMMSS.gkg.csv.zip","No API key",,"Every 15 min",,"CSV (zipped)",,,,"GKG full file download","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 1 / Line 140",,,
"GDELT — Master Reference Table Row (DOC 2.0 CRE News Ticker)",,"GDELT",,"https://api.gdeltproject.org/api/v2/doc/doc?query=(CMBS OR ""office vacancy"")sourcecountry:US&mode=artlist&format=json&timespan=24h&maxrecords=250&sort=datedesc","None",,"15-min update",,"JSON / CSV / RSS",,"Soft IP throttle (no hard limit)",,"CRE News Ticker","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Master Reference Table / Line 613",,,
"GDELT — Master Reference Table Row (GKG Theme Topic Volume Sparkline)",,"GDELT",,"https://api.gdeltproject.org/api/v2/doc/doc?query=(theme:ECON_HOUSING OR theme:REAL_ESTATE)sourcecountry:US&mode=timelinevol&format=json&timespan=30d","None",,"15-min",,"JSON",,"Soft IP throttle",,"Topic Volume Sparkline","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Master Reference Table / Line 614",,,
"Federal Register API v1 — Base Endpoint",,"Federal Register",,"https://www.federalregister.gov/api/v1/documents.json","No API key required. Free, open.",,,,,,"No rate limit published",,"Regulatory Event Marker","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 2 / Lines 146-152",,,
"Federal Register API v1 — Canonical CRE Regulatory Monitoring Query",,"Federal Register",,"https://www.federalregister.gov/api/v1/documents.json?conditions[term]=real+estate+mortgage+CMBS+multifamily+affordable+housing&conditions[agencies][]=securities-and-exchange-commission&conditions[agencies][]=housing-and-urban-development-department&conditions[agencies][]=federal-deposit-insurance-corporation&conditions[agencies][]=comptroller-of-the-currency&conditions[agencies][]=federal-housing-finance-agency&conditions[agencies][]=consumer-financial-protection-bureau&conditions[agencies][]=financial-crimes-enforcement-network&conditions[agencies][]=treasury-department&conditions[type][]=RULE&conditions[type][]=PRORULE&conditions[publication_date][gte]=2024-01-01&conditions[publication_date][lte]=2026-12-31&per_page=40&page=1&order=newest&fields[]=document_number&fields[]=title&fields[]=agency_names&fields[]=publication_date&fields[]=type&fields[]=abstract&fields[]=html_url&fields[]=pdf_url","No API key",,,,"document_number, title, agency_names, publication_date, type, abstract, html_url, pdf_url",,,,"Returns RULE + PRORULE documents from SEC, HUD, FDIC, OCC, FHFA, CFPB, FinCEN, Treasury mentioning CRE terms","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 2 / Lines 158-162",,,
"Federal Register API v1 — Public Inspection Documents",,"Federal Register",,"https://www.federalregister.gov/api/v1/public-inspection-documents.json?conditions[agencies][]=federal-housing-finance-agency&conditions[agencies][]=housing-and-urban-development-department&per_page=40","No API key",,"Daily",,"JSON",,,,"Next-Day Rules Alert (documents filed for next-day publication)","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 2 / Lines 229-231",,,
"Federal Register — RSS Feed FHFA Agency",,"Federal Register",,"https://www.federalregister.gov/agencies/federal-housing-finance-agency.rss","No API key",,,,"RSS",,,,"Agency RSS feed for FHFA rules","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 2 / Lines 239-241",,,
"Federal Register — RSS Feed Full-Text Search ""commercial real estate""",,"Federal Register",,"https://www.federalregister.gov/documents/search.rss?conditions[term]=commercial+real+estate","No API key",,,,"RSS",,,,"Full-text search RSS feed","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 2 / Lines 244-246",,,
"Federal Register API v1 — curl Example",,"Federal Register",,"https://www.federalregister.gov/api/v1/documents.json","No API key",,,,,,,,"curl integration example with CMBS multifamily filter","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 2 / Lines 252-260",,,
"Federal Register API v1 — Python httpx Example",,"Federal Register",,"https://www.federalregister.gov/api/v1/documents.json","No API key",,,,"JSON",,,,"Python integration example","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 2 / Lines 264-278",,,
"Federal Register — Agency List Endpoint",,"Federal Register",,"https://www.federalregister.gov/api/v1/agencies.json","No API key",,,,,,,,"Agency slug validation list","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Hardening Notes / Line 702",,,
"Federal Register API — Master Reference Table Row",,"Federal Register",,"https://www.federalregister.gov/api/v1/documents.json?conditions[term]=CMBS+multifamily&conditions[agencies][]=federal-housing-finance-agency&conditions[type][]=RULE&conditions[publication_date][gte]=2024-01-01&per_page=40","None",,"Daily (business days)",,"JSON",,"None documented",,"Regulatory Event Marker","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Master Reference Table / Line 615",,,
"Fed Register Public Inspection — Master Reference Table Row",,"Federal Register",,"https://www.federalregister.gov/api/v1/public-inspection-documents.json?conditions[agencies][]=housing-and-urban-development-department&per_page=20","None",,"Daily",,"JSON",,"None",,"Next-Day Rules Alert","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Master Reference Table / Line 616",,,
"FOMC Calendar — Source A Federal Reserve Board Web Page",,"Federal Reserve Board",,"https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm","No API key",,"Annually + updates",,"HTML",,,,"FOMC Countdown Clock (scrape HTML table)","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 3 / Lines 286-292",,,
"FOMC Calendar — Source A Chicago Fed Mirror",,"Chicago Fed",,"https://www.chicagofed.org/utilities/about-us/federal-reserve-calendars","No API key",,,,"HTML",,,,"FOMC dates mirror","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 3 / Line 292",,,
"FOMC Calendar — Source B FRED DFEDTARU Series",,"FRED",,"https://api.stlouisfed.org/fred/series/observations?series_id=DFEDTARU&api_key=YOUR_KEY&file_type=json&observation_start=2024-01-01","Free key",,"Daily",,"JSON",,,,"Fed Funds Target Rate Upper Bound; observation dates with value changes = FOMC decision dates","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 3 / Lines 318-322",,,
"FOMC Calendar — FRED Key Signup",,"FRED",,"https://fred.stlouisfed.org/docs/api/api_key.html","No API key (for signup)",,,,,,,,"Free FRED API key signup","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 3 / Line 322",,,
"FOMC Calendar — FRED GDPNOW Series Page",,"FRED",,"https://fred.stlouisfed.org/series/GDPNOW","Free key",,,,,,,,"GDPNow nowcast series on FRED","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 3 / Lines 325-327",,,
"FOMC Calendar — Source C Google iCal Feed",,"Third-Party / Google Calendar",,"https://calendar.google.com/calendar/ical/federalreserve.gov_bfs62ka1en9okm2e6o4r9mbu8s%40group.calendar.google.com/public/basic.ics","No API key",,,,"iCal",,,,"Public iCal feed maintained via CME Group FedWatch","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 3 / Lines 336-338",,,
"FOMC Calendar — Source C GitHub datasets/fomc-dates CSV",,"GitHub datasets/fomc-dates",,"https://raw.githubusercontent.com/datasets/fomc-dates/main/data/fomc-meetings.csv","No API key",,"Within days of Fed announcement",,"CSV",,,,"Community-maintained CSV of historical and forward FOMC dates","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 3 / Lines 342-344",,,
"FOMC Calendar — Programmatic parse from Fed HTML (Python)",,"Federal Reserve Board",,"https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm","No API key",,,,"HTML",,,,"Python BeautifulSoup scrape example","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 3 / Lines 350-357",,,
"FOMC Calendar — Master Reference Table Row",,"Federal Reserve Board",,"https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm","None",,"Annually + updates",,"HTML",,"None",,"FOMC Countdown Clock","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Master Reference Table / Line 617",,,
"FRED DFEDTARU — Master Reference Table Row",,"FRED",,"https://api.stlouisfed.org/fred/series/observations?series_id=DFEDTARU&api_key=KEY&file_type=json","Free key",,"Daily",,"JSON / XML",,"1,000/day (unregistered); unlimited registered",,"Fed Funds Rate Tile","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Master Reference Table / Line 618",,,
"SEC EDGAR — Submissions by Company",,"SEC",,"https://data.sec.gov/submissions/CIK0000315966.json","No API key",,"Real-time",,"JSON: cik, entityType, sic, sicDescription, name, filings.recent (form, filingDate, accessionNumber, primaryDocument)",,"Max 10 req/sec",,"Issuer Filing Feed; Equity Commonwealth example","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 4 / Lines 365-370",,,
"SEC EDGAR Full-Text Search (EFTS) — CMBS Query",,"SEC",,"https://efts.sec.gov/LATEST/search-index?q=%22CMBS%22+%22commercial+real+estate%22&dateRange=custom&startdt=2024-01-01&enddt=2026-12-31&forms=10-K,10-Q,8-K&hits.hits._source=period_of_report,entity_name,file_date,form_type,biz_location","No API key",,"Real-time",,"JSON: period_of_report, entity_name, file_date, form_type, biz_location",,"10 req/sec",,"EDGAR Filing Stream; SIC 6500-6599 Real Estate screen","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 4 / Lines 374-378",,,
"SEC EDGAR EFTS — Human-Facing Office Vacancy Query",,"SEC",,"https://efts.sec.gov/LATEST/search-index?q=%22office+vacancy%22+%22CMBS%22&forms=8-K&dateRange=custom&startdt=2025-01-01&enddt=2026-12-31","No API key",,"Real-time",,"JSON",,"10 req/sec",,"8-K filings mentioning office vacancy / CMBS","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 4 / Lines 380-383",,,
"SEC EDGAR EFTS — Base URL",,"SEC",,"https://efts.sec.gov/LATEST/search-index","No API key",,"Real-time",,"JSON",,"10 req/sec",,"Full-text search base endpoint","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 4 / Lines 385-388",,,
"SEC EDGAR EFTS — Form D Filings (Private RE Fundraises)",,"SEC",,"https://efts.sec.gov/LATEST/search-index?q=%22commercial+real+estate%22+%22multifamily%22&forms=D&dateRange=custom&startdt=2025-01-01&enddt=2026-12-31","No API key",,"Real-time",,"JSON",,"10 req/sec",,"Form D private real estate fundraises","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 4 / Lines 392-395",,,
"SEC EDGAR — RSS Feed Real-Time SIC 6552",,"SEC",,"https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&type=8-K&dateb=&owner=include&count=40&search_text=&SIC=6552&output=atom","No API key",,"Real-time",,"Atom/RSS",,"10 req/sec",,"Real-time EDGAR filings RSS for SIC 6500 region (Land Subdividers & Developers 6552)","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 4 / Lines 397-400",,,
"SEC EDGAR EFTS — Master Reference Table Row",,"SEC",,"https://efts.sec.gov/LATEST/search-index?q=""CMBS""+""commercial+real+estate""&forms=8-K,10-K&dateRange=custom&startdt=2025-01-01&enddt=2026-12-31","None",,"Real-time (filed same day)",,"JSON",,"10 req/sec",,"EDGAR Filing Stream","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Master Reference Table / Line 619",,,
"SEC EDGAR Submissions — Master Reference Table Row",,"SEC",,"https://data.sec.gov/submissions/CIK0000315966.json","None",,"Real-time",,"JSON",,"10 req/sec",,"Issuer Filing Feed","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Master Reference Table / Line 620",,,
"SEC Developer Resources Page",,"SEC",,"https://www.sec.gov/about/developer-resources","No API key",,,,,,,,"Monitor for breaking changes to EDGAR APIs","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Hardening Notes / Line 700",,,
"Regulations.gov v4 — Base Endpoint",,"Regulations.gov",,"https://api.regulations.gov/v4/documents","Free api.data.gov key required",,,,,,"1,000 requests/hour per key. DEMO_KEY: 30/hour, 50/day",,"Open Rulemaking Docket","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 5 / Lines 407-418",,,
"Regulations.gov v4 — API Key Signup",,"Regulations.gov / api.data.gov",,"https://open.gsa.gov/api/regulationsgov/","Free api.data.gov key signup",,,,,,,,"API key signup page","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 5 / Lines 413-416",,,
"Regulations.gov v4 — CRE Docket Query HUD Proposed Rules",,"Regulations.gov",,"https://api.regulations.gov/v4/documents?filter[agencyId]=HUD&filter[documentType]=Proposed Rule&filter[postedDate][ge]=2024-01-01&page[size]=25&page[number]=1&api_key=YOUR_KEY","Free api.data.gov key","Free","Daily",,"JSON",,"1,000 req/hour",,"HUD open rules","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 5 / Lines 422-424",,,
"Regulations.gov v4 — FHFA Proposed Rules",,"Regulations.gov",,"https://api.regulations.gov/v4/documents?filter[agencyId]=FHFA&filter[documentType]=Proposed Rule&filter[postedDate][ge]=2024-01-01&page[size]=25&api_key=YOUR_KEY","Free api.data.gov key","Free","Daily",,"JSON",,"1,000 req/hour",,"FHFA open rules","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 5 / Lines 427-429",,,
"Regulations.gov v4 — Full Docket Keyword Search ""real estate""",,"Regulations.gov",,"https://api.regulations.gov/v4/documents?filter[searchTerm]=real+estate+CMBS+mortgage&filter[documentType]=Proposed Rule&page[size]=25&api_key=YOUR_KEY","Free api.data.gov key","Free","Daily",,"JSON",,"1,000 req/hour",,"Full docket search ""real estate CMBS mortgage""","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 5 / Lines 432-434",,,
"Regulations.gov v4 — Docket Details Endpoint",,"Regulations.gov",,"https://api.regulations.gov/v4/dockets/{docketId}?api_key=YOUR_KEY","Free api.data.gov key","Free",,,"JSON",,"1,000 req/hour",,"Docket details by docketId","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 5 / Lines 438-441",,,
"Regulations.gov v4 — Master Reference Table Row",,"Regulations.gov",,"https://api.regulations.gov/v4/documents?filter[agencyId]=FHFA&filter[documentType]=Proposed Rule&filter[postedDate][ge]=2024-01-01&page[size]=25&api_key=KEY","Free api.data.gov key","Free","Daily",,"JSON",,"1,000 req/hr",,"Open Rulemaking Docket","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Master Reference Table / Line 621",,,
"Treasury FiscalData — Base URL",,"Treasury FiscalData",,"https://api.fiscaldata.treasury.gov/services/api/fiscal_service","No API key",,,,,,,,"Treasury FiscalData base","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 6 / Lines 449-453",,,
"Treasury FiscalData — Avg Interest Rates on US Debt",,"Treasury FiscalData",,"/v2/accounting/od/avg_interest_rates","No API key",,,,,,,,"Benchmark rate context for CRE","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 6 / Line 459",,,
"Treasury FiscalData — Daily Treasury Yield Curve",,"Treasury FiscalData",,"/v2/accounting/od/avg_interest_rates?fields=security_desc,avg_interest_rate_amt,record_date&filter=security_desc:eq:Treasury+Bills","No API key",,,,"security_desc, avg_interest_rate_amt, record_date",,,,"Cap rate spreads","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 6 / Line 460",,,
"Treasury FiscalData — Treasury Securities Outstanding",,"Treasury FiscalData",,"/v1/debt/treas_sec_outstanding","No API key",,,,,,,,"MBS/CMBS issuance context","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 6 / Line 461",,,
"Treasury FiscalData — Debt to the Penny",,"Treasury FiscalData",,"/v2/accounting/od/debt_to_penny","No API key",,"Daily",,,,,,"Daily headline macro","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 6 / Line 462",,,
"Treasury FiscalData — Full Dataset Catalog",,"Treasury FiscalData",,"https://fiscaldata.treasury.gov/datasets/","No API key",,,,,,,,"Full dataset catalog","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 6 / Lines 464-466",,,
"Treasury FiscalData — Avg Interest Rates Full Query",,"Treasury FiscalData",,"https://api.fiscaldata.treasury.gov/services/api/fiscal_service/v2/accounting/od/avg_interest_rates?fields=security_desc,avg_interest_rate_amt,record_date&sort=-record_date&page[size]=10","No API key",,"Daily / Monthly",,"JSON",,,,"Benchmark Rate Strip","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 6 / Lines 468-470",,,
"Treasury TIC — Canonical Download Portal",,"Treasury TIC",,"https://ticdata.treasury.gov/","No API key",,"Monthly (11th biz day +0-3)",,,,,,"Foreign Holdings of RMBS/CMBS/Agency MBS portal","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 6 / Lines 474-478",,,
"Treasury TIC — Foreign Holdings Preliminary Report (HTML)",,"Treasury TIC",,"https://ticdata.treasury.gov/Publish/shlprelim.html","No API key",,"Monthly",,"HTML",,,,"Foreign holdings of US ABS/MBS most recent benchmark survey","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 6 / Lines 480-484",,,
"Treasury TIC — Long-Term Holdings 2025 CSV",,"Treasury TIC",,"https://ticdata.treasury.gov/Publish/shla2025r.csv","No API key",,"Monthly (11th biz day +0-3)",,"CSV",,,,"Foreign MBS Holdings Tile; replace year in filename","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 6 / Lines 485-489",,,
"OFR STFM API — Repo Dataset",,"Office of Financial Research (OFR)",,"https://data.financialresearch.gov/v1/series/dataset?dataset=repo","No API key",,,,"JSON",,,,"OFR STFM covers repo markets, money market funds, treasury yields (no REST JSON for TIC; use OFR STFM)","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 6 / Lines 491-495",,,
"Treasury FiscalData — Master Reference Table Row",,"Treasury FiscalData",,"https://api.fiscaldata.treasury.gov/services/api/fiscal_service/v2/accounting/od/avg_interest_rates?fields=security_desc,avg_interest_rate_amt,record_date&sort=-record_date&page[size]=10","None",,"Daily / Monthly",,"JSON",,"None",,"Benchmark Rate Strip","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Master Reference Table / Line 622",,,
"Treasury TIC (CSV) — Master Reference Table Row",,"Treasury TIC",,"https://ticdata.treasury.gov/Publish/shla2025r.csv","None",,"Monthly (11th biz day +0-3)",,"CSV flat file",,"None",,"Foreign MBS Holdings Tile","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Master Reference Table / Line 623",,,
"BLS Public Data API v2 — Base",,"BLS",,"https://api.bls.gov/publicAPI/v2/timeseries/data/","Free key",,,,,,"500 requests/day",,"BLS macro tiles","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 7 / Lines 501-503",,,
"BLS API v2 — Registration Page",,"BLS",,"https://data.bls.gov/registrationEngine/","Free key signup",,,,,,,,"Free BLS key signup","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 7 / Line 503",,,
"BLS API v2 — CES Nonfarm Payrolls (CES0000000001)",,"BLS",,"https://api.bls.gov/publicAPI/v2/timeseries/data/CES0000000001?startyear=2023&endyear=2026&registrationkey=YOUR_KEY","Free key",,"Monthly",,"JSON",,"500 req/day",,"CES Nonfarm Payrolls total","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 7 / Line 508",,,
"BLS API v2 — JOLTS Job Openings (JTS000000000000000JOR)",,"BLS",,"https://api.bls.gov/publicAPI/v2/timeseries/data/JTS000000000000000JOR?startyear=2023&endyear=2026&registrationkey=YOUR_KEY","Free key",,"Monthly",,"JSON",,"500 req/day",,"Labor Demand Indicator","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 7 / Line 509",,,
"BLS API v2 — CPI Shelter Component (CUSR0000SAH1)",,"BLS",,"https://api.bls.gov/publicAPI/v2/timeseries/data/CUSR0000SAH1?startyear=2023&endyear=2026&registrationkey=YOUR_KEY","Free key",,"Monthly",,"JSON",,"500 req/day",,"CPI Shelter Tracker","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 7 / Line 510",,,
"BEA API — Base",,"BEA",,"https://apps.bea.gov/api/data","Free key",,,,,,"100 requests/min, 100 MB/min",,"BEA Regional API base","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 7 / Lines 514-518",,,
"BEA API — Free Key Signup",,"BEA",,"https://apps.bea.gov/API/signup/","Free key signup",,,,,,,,"Free BEA API key signup","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 7 / Line 517",,,
"BEA API — Personal Income by MSA (CAINC1)",,"BEA",,"https://apps.bea.gov/api/data?UserID=YOUR_KEY&method=GetData&DataSetName=Regional&TableName=CAINC1&LineCode=1&GeoFips=MSA&Year=2022,2023,2024&ResultFormat=JSON","Free key",,"Annual",,"JSON",,"100 req/min, 100 MB/min",,"MSA Income Map; CAINC1 Personal Income by MSA","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 7 / Lines 520-522",,,
"Census API — Key Signup",,"Census",,"https://api.census.gov/data/key_signup.html","Free key signup",,,,,,,,"Census API key signup","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 7 / Lines 527-529",,,
"Census API — Building Permits Survey (BPS) Monthly National",,"Census",,"https://api.census.gov/data/timeseries/eits/bps?get=cell_value,time_slot_name,category_code&for=us:*&time=from+2023-01&key=YOUR_KEY","Free key",,"Monthly",,"JSON: cell_value, time_slot_name, category_code",,"Generous (undocumented)",,"Building Permits Ticker","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 7 / Line 533",,,
"Census API — Monthly Retail Trade (MRTS)",,"Census",,"https://api.census.gov/data/timeseries/eits/mrts?get=cell_value,time_slot_name,category_code&for=us:*&time=from+2024-01&key=YOUR_KEY","Free key",,"Monthly",,"JSON: cell_value, time_slot_name, category_code",,"Generous",,"Monthly Retail Trade ticker","CRE Intelligence Terminal — Production-Ready API Recipe Book.md","Section 7 / Line 534",,,
