Yelp Fusion,,Yelp,,,,,,,,,,,"Tenant Intelligence: Yelp Fusion (consumer analytics, store-level health)",Terminal_Intelligence_Brief.md,line 24 (Tenant Intelligence),OK,,
Socrata municipal violations,,Socrata,,,,,,,,,,,"Tenant Intelligence: Socrata municipal violations (200+ cities: code enforcement, HPD complaints, DOB violations)",Terminal_Intelligence_Brief.md,line 24 (Tenant Intelligence),OK,,
Inforuptcy,,Inforuptcy,,,,,,,,active subscription,,,Tenant Intelligence: Inforuptcy bankruptcy monitoring (active subscription),Terminal_Intelligence_Brief.md,line 24 (Tenant Intelligence),OK,,
KBRA,,KBRA,,,,,,,,,,,Credit & Ratings,Terminal_Intelligence_Brief.md,line 25 (Credit & Ratings),OK,,
S&P Global Ratings,,S&P Global,,,,,,,,,,,Credit & Ratings,Terminal_Intelligence_Brief.md,line 25 (Credit & Ratings),OK,,
Fitch Connect,,Fitch,,,,,,,,,,,Credit & Ratings,Terminal_Intelligence_Brief.md,line 25 (Credit & Ratings),OK,,
DBRS Morningstar,,DBRS Morningstar,,authenticated access,,,,,,,,,Credit & Ratings: DBRS Morningstar (authenticated access),Terminal_Intelligence_Brief.md,line 25 (Credit & Ratings),OK,,
CompStak,,CompStak,,approved,,,,,,,,,Credit & Ratings: CompStak lease comps (approved),Terminal_Intelligence_Brief.md,line 25 (Credit & Ratings),OK,,
CoStar,,CoStar,,,,,,,,,,,Credit & Ratings: CoStar underwriting data,Terminal_Intelligence_Brief.md,line 25 (Credit & Ratings),OK,,
Trepp,,Trepp,,,,,,,,,,,"CMBS & Distress Intelligence: Trepp (full CMBS surveillance universe, delinquency tracking, special servicing, workout monitoring)",Terminal_Intelligence_Brief.md,line 65 (CMBS & Distress Intelligence),OK,,
CRED iQ,,CRED iQ,,,,,,,,,,,"CMBS & Distress Intelligence: CRED iQ ($2.3 trillion tracked, borrower contacts, audited financials, servicer workout strategy)",Terminal_Intelligence_Brief.md,line 65 (CMBS & Distress Intelligence),OK,,
BankRegData,,BankRegData,,,,,,,,,,,CMBS & Distress Intelligence: BankRegData (FDIC call report analysis identifying banks with CRE concentration above 300% of Tier 1 capital — the institutions most likely to sell non-performing loans),Terminal_Intelligence_Brief.md,line 65 (CMBS & Distress Intelligence),OK,,
DebtX,,DebtX,,,,,,,,,,,CMBS & Distress Intelligence: DebtX (institutional NPL marketplace with credit scoring),Terminal_Intelligence_Brief.md,line 65 (CMBS & Distress Intelligence),OK,,
ATTOM Data,,ATTOM Data,,,,,,,,,,,"Ownership & Parcel Intelligence: ATTOM Data (54 million+ parcels, nationwide ownership source of truth)",Terminal_Intelligence_Brief.md,line 69 (Ownership & Parcel Intelligence),OK,,
Reonomy/Altus Group,,Altus Group,,,,,,,,,,,Ownership & Parcel Intelligence: Reonomy/Altus Group (ML-powered Likelihood to Sell scoring across 54 million properties),Terminal_Intelligence_Brief.md,line 69 (Ownership & Parcel Intelligence),OK,,
Cherre,,Cherre,,,,,,,,,,,Ownership & Parcel Intelligence: Cherre (3.3 billion addresses unified in a single knowledge graph with AI agent deployment),Terminal_Intelligence_Brief.md,line 69 (Ownership & Parcel Intelligence),OK,,
CoreLogic,,CoreLogic,,,,,,,,,,,"Ownership & Parcel Intelligence: CoreLogic (mortgage risk datasets, insurance modeling)",Terminal_Intelligence_Brief.md,line 69 (Ownership & Parcel Intelligence),OK,,
BatchData,,BatchData,,,,,,,,,,,Ownership & Parcel Intelligence: BatchData (predictive seller propensity at scale),Terminal_Intelligence_Brief.md,line 69 (Ownership & Parcel Intelligence),OK,,
Clik.ai,,Clik.ai,,,,,,,,,,,Underwriting Automation: Clik.ai (automated rent roll and T-12 extraction directly into financial models — the AutoUW engine processed $7.9 billion in deal volume),Terminal_Intelligence_Brief.md,line 73 (Underwriting Automation),OK,,
Built AI,,Built AI,,,,,,,,,,,Underwriting Automation: Built AI (10x underwriting speed from raw documents to cash flow models — CBRE client),Terminal_Intelligence_Brief.md,line 73 (Underwriting Automation),OK,,
Dealpath,,Dealpath,,,,,,,,,,,"Underwriting Automation: Dealpath (the institutional pipeline standard with $10 trillion+ in transactions, AI Extract at 95% accuracy, Connect marketplace covering 65% of institutional listings)",Terminal_Intelligence_Brief.md,line 73 (Underwriting Automation),OK,,
redIQ/Radix,,redIQ/Radix,,,,,,,,,,,"Underwriting Automation: redIQ/Radix (institutional-standard rent roll normalization — CBRE, JLL, BH clients)",Terminal_Intelligence_Brief.md,line 73 (Underwriting Automation),OK,,
First Street Foundation,,First Street Foundation,,,,,,,,,,,"Climate, Environmental & Hazard Modeling: First Street Foundation (30-year flood, wind, and wildfire hazard projections at the parcel level)",Terminal_Intelligence_Brief.md,"line 77 (Climate, Environmental & Hazard Modeling)",OK,,
HazardHub,,HazardHub,,,,,,,,,,,"Climate, Environmental & Hazard Modeling: HazardHub (multi-hazard insurance risk scoring: frozen pipe, hail, storm surge — beyond what FEMA covers)",Terminal_Intelligence_Brief.md,"line 77 (Climate, Environmental & Hazard Modeling)",OK,,
ClimateCheck,,ClimateCheck,,,,,,,,,,,"Climate, Environmental & Hazard Modeling: ClimateCheck (insurance premium spike prediction and coverage withdrawal risk)",Terminal_Intelligence_Brief.md,"line 77 (Climate, Environmental & Hazard Modeling)",OK,,
CREtelligent,,CREtelligent,,,,,,,,,,,"Climate, Environmental & Hazard Modeling: CREtelligent (integrated Phase I/II environmental, zoning, ALTA surveys)",Terminal_Intelligence_Brief.md,"line 77 (Climate, Environmental & Hazard Modeling)",OK,,
LightBox,,LightBox,,,,,,,,,,,"Climate, Environmental & Hazard Modeling: LightBox (environmental screening, zoning API, virtual data rooms)",Terminal_Intelligence_Brief.md,"line 77 (Climate, Environmental & Hazard Modeling)",OK,,
CompStak,,CompStak,,,,,,,,,,,Lease Intelligence & Legal: CompStak (full API: 1.6 million+ verified lease comps with AI rent prediction and market analysis),Terminal_Intelligence_Brief.md,line 81 (Lease Intelligence & Legal),OK,,
MRI Contract Intelligence,,MRI,,,,,,,,,,,"Lease Intelligence & Legal: MRI Contract Intelligence (bulk lease abstraction across 25 languages, 500,000+ documents processed)",Terminal_Intelligence_Brief.md,line 81 (Lease Intelligence & Legal),OK,,
Prophia,,Prophia,,,,,,,,,,,Lease Intelligence & Legal: Prophia (source-linked portfolio lease intelligence),Terminal_Intelligence_Brief.md,line 81 (Lease Intelligence & Legal),OK,,
DDee.ai,,DDee.ai,,,,,,,,,,,Lease Intelligence & Legal: DDee.ai (full due diligence software with IC memo generation),Terminal_Intelligence_Brief.md,line 81 (Lease Intelligence & Legal),OK,,
Thomson Reuters CoCounsel,,Thomson Reuters,,,,,,,,,,,Lease Intelligence & Legal: Thomson Reuters CoCounsel (legal AI for contract review and compliance),Terminal_Intelligence_Brief.md,line 81 (Lease Intelligence & Legal),OK,,
Placer.ai,,Placer.ai,,,,,,,,,,,"Foot Traffic, Consumer & Market Analytics: Placer.ai (near real-time foot traffic visitation data, return-to-office trajectory, retail performance quantification)",Terminal_Intelligence_Brief.md,"line 85 (Foot Traffic, Consumer & Market Analytics)",OK,,
Foursquare Places,,Foursquare Places,,,,,,,,,,,"Foot Traffic, Consumer & Market Analytics: Foursquare Places (point-of-interest and behavioral analytics)",Terminal_Intelligence_Brief.md,"line 85 (Foot Traffic, Consumer & Market Analytics)",OK,,
AirDNA,,AirDNA,,,,,,,,,,,"Foot Traffic, Consumer & Market Analytics: AirDNA (short-term rental RevPAR, ADR, and occupancy benchmarks)",Terminal_Intelligence_Brief.md,"line 85 (Foot Traffic, Consumer & Market Analytics)",OK,,
RentCast,,RentCast,,,,,,,,,,,"Foot Traffic, Consumer & Market Analytics: RentCast (rental AVMs and real-time market trends)",Terminal_Intelligence_Brief.md,"line 85 (Foot Traffic, Consumer & Market Analytics)",OK,,
CrimeoMeter,,CrimeoMeter,,,,,,,,,,,"Foot Traffic, Consumer & Market Analytics: CrimeoMeter (dynamic safety index with A+ to F grading)",Terminal_Intelligence_Brief.md,"line 85 (Foot Traffic, Consumer & Market Analytics)",OK,,
FactSet,,FactSet,,,,,,,,,,,"Institutional Financial Data: FactSet — connected via live MCP integrations for real-time credit analysis, fund intelligence, index benchmarking, and fixed-income data",Terminal_Intelligence_Brief.md,line 89 (Institutional Financial Data),OK,,
PitchBook,,PitchBook,,,,,,,,,,,Institutional Financial Data: PitchBook — connected via live MCP integrations,Terminal_Intelligence_Brief.md,line 89 (Institutional Financial Data),OK,,
S&P Global,,S&P Global,,,,,,,,,,,Institutional Financial Data: S&P Global — connected via live MCP integrations,Terminal_Intelligence_Brief.md,line 89 (Institutional Financial Data),OK,,
Morningstar,,Morningstar,,,,,,,,,,,Institutional Financial Data: Morningstar — connected via live MCP integrations,Terminal_Intelligence_Brief.md,line 89 (Institutional Financial Data),OK,,
MSCI,,MSCI,,,,,,,,,,,Institutional Financial Data: MSCI — connected via live MCP integrations,Terminal_Intelligence_Brief.md,line 89 (Institutional Financial Data),OK,,
ICE Data Services,,ICE Data Services,,,,,,,,,,,Institutional Financial Data: ICE Data Services — connected via live MCP integrations,Terminal_Intelligence_Brief.md,line 89 (Institutional Financial Data),OK,,
Mapbox Enterprise,,Mapbox,,,,,,,,,,,"Geospatial & Visualization: Mapbox Enterprise (dark-theme interactive maps with satellite view, deal card overlays, and comp visualization)",Terminal_Intelligence_Brief.md,line 93 (Geospatial & Visualization),OK,,
Regrid,,Regrid,,,,,,,,,,,Geospatial & Visualization: Regrid (high-fidelity parcel boundaries),Terminal_Intelligence_Brief.md,line 93 (Geospatial & Visualization),OK,,
Matterport,,Matterport,,,,,,,,,,,Geospatial & Visualization: Matterport (3D digital twins for immersive property visualization on deal pages),Terminal_Intelligence_Brief.md,line 93 (Geospatial & Visualization),OK,,
DeepBlocks,,DeepBlocks,,,,,,,,,,,Geospatial & Visualization: DeepBlocks (automated zoning feasibility and 3D massing for urban infill analysis),Terminal_Intelligence_Brief.md,line 93 (Geospatial & Visualization),OK,,
